Geneid	Chr	Start	End	Strand	Length	C7H8_ES_d10r1	C7H8_ES_d10r2	C7H8_ES_d10r3
Timp1	chrX;chrX	20870165;20870165	20874737;20874737	+;+	4573	0.037037037037037	0.0384615384615385	0.0357142857142857
Cfp	chrX	20925534	20931524	-	5991	0.259259259259259	0.0857142857142857	0.0869565217391304
Elk1	chrX	20933394	20950608	-	17215	0.183823529411765	0.191709844559585	0.0934065934065934
Uxt	chrX	20951664	20961978	-	10315	0.211469534050179	0.175066312997347	0.182879377431907
A230072C01Rik	chrX;chrX	20961675;20962113	20987349;20987349	+;+	25675	0.145454545454545	0.136125654450262	0.091324200913242
Zfp182	chrX;chrX	21026183;21026183	21062038;21062038	-;-	35856	0.176043557168784	0.193502824858757	0.183381088825215
Zfp300	chrX	21079149	21089229	-	10081	0.0909090909090909	0.0333333333333333	0.0256410256410256
Klhl13	chrX;chrX	23219270;23219270	23285428;23365082	-;-	145813	0.206109979633401	0.220546654099906	0.230639414963435
Wdr44	chrX	23693116	23806001	+	112886	0.375	0.324324324324324	0.387096774193548
Dock11	chrX	35888831	36076562	+	187732	0.0555555555555556	0.0714285714285714	0.203703703703704
Il13ra1	chrX	36112138	36171261	+	59124	0.0714285714285714	0	0.0869565217391304
Pgrmc1	chrX	36598224	36606079	+	7856	0.0833333333333333	0.114285714285714	0.121212121212121
Akap17b	chrX	36608182	36645414	-	37233	0.0759493670886076	0.1	0.0454545454545455
Slc25a5	chrX	36795651	36798806	+	3156	0.794019933554817	0.687279151943463	0.676829268292683
Upf3b	chrX	37091833	37110322	-	18490	0.197802197802198	0.183823529411765	0.192
Nkap	chrX	37126762	37150746	+	23985	0.319298245614035	0.288617886178862	0.31629392971246
Zbtb33	chrX;chrX	38189792;38189792	38197046;38197046	+;+	7255	0.136363636363636	0.142857142857143	0.1
Lamp2	chrX;chrX;chrX	38401356;38405048;38419502	38456460;38456460;38456460	-;-;-	55105	0.1875	0.208917197452229	0.1568
Cul4b	chrX;chrX	38531620;38531620	38576196;38576196	-;-	44577	0.19047619047619	0.178571428571429	0.0735294117647059
Gria3	chrX;chrX;chrX;chrX	41401300;41401300;41401300;41401528	41678601;41678601;41678601;41672466	+;+;+;+	277302	0.12	0.176470588235294	0.0833333333333333
Thoc2	chrX	41794993	41911901	-	116909	0.173913043478261	0.162790697674419	0.192307692307692
Xiap	chrX	42067835	42109664	+	41830	0.0738095238095238	0.105084745762712	0.076797385620915
Stag2	chrX;chrX;chrX	42149411;42150700;42201854	42277186;42277186;42277186	+;+;+	127776	0.0942249240121581	0.110526315789474	0.0887096774193548
Smarca1	chrX;chrX	47809369;47809369	47892552;47892552	-;-	83184	0.0588235294117647	0.0465116279069767	0
Ocrl	chrX	47912455	47965866	+	53412	0.164222873900293	0.154989384288747	0.113425925925926
Xpnpep2	chrX;chrX	48108724;48108724	48136981;48136981	+;+	28258	0	0.0545454545454545	0
Zdhhc9	chrX	48171970	48208702	-	36733	0.0838709677419355	0.0632183908045977	0.0495049504950495
Utp14a	chrX	48256933	48282449	+	25517	0.176020408163265	0.172127365020766	0.16327474560592
Bcorl1	chrX	48341357	48406728	+	65372	0.114285714285714	0.119047619047619	0.0853658536585366
Elf4	chrX	48411048	48463132	-	52085	0.0816326530612245	0.0983606557377049	0
Aifm1	chrX;chrX	48474943;48474943	48513563;48513563	-;-	38621	0.0845070422535211	0.0619946091644205	0.0668380462724936
Zfp280c	chrX;chrX;chrX;chrX	48541625;48541625;48541625;48541625	48594452;48594373;48592133;48591761	-;-;-;-	52828	0.0447154471544715	0.0434056761268781	0.0386266094420601
Slc25a14	chrX;chrX;chrX;chrX;chrX	48623577;48623577;48623577;48623673;48623673	48662298;48662298;48662298;48662298;48662298	+;+;+;+;+	38722	0.122448979591837	0.201388888888889	0.102739726027397
Rbmx2	chrX	48695003	48710719	+	15717	0.0735294117647059	0.103030303030303	0.0581395348837209
Enox2	chrX;chrX;chrX;chrX;chrX;chrX	49009706;49009706;49009706;49009706;49009706;49009706	49288242;49288242;49288242;49288242;49288242;49288242	-;-;-;-;-;-	278537	0.0598802395209581	0.0924006908462867	0.0695220360024829
Igsf1	chrX;chrX;chrX;chrX	49782536;49782536;49786348;49792966	49788243;49797745;49795364;49797745	-;-;-;-	15210	0	0	0
Firre	chrX;chrX	50555743;50563119	50635258;50635258	-;-	79516	0.0312609764664559	0.034242910647405	0.0306797143612801
2610018G03Rik	chrX	50841435	50891850	+	50416	0.106666666666667	0.138613861386139	0.0925925925925926
Mbnl3	chrX	51113493	51205832	-	92340	0.133333333333333	0.235294117647059	0.15
Hs6st2	chrX;chrX;chrX;chrX	51386636;51386636;51386636;51386636	51681602;51680477;51681602;51680477	-;-;-;-	294967	0.0422960725075529	0.0692771084337349	0.0546448087431694
Gpc4	chrX	52053017	52164923	-	111907	0.131004366812227	0.123110151187905	0.102649006622517
Gpc3	chrX	52272426	52613974	-	341549	0.0439516129032258	0.0530112923462986	0.0437375745526839
Kis2	chrX	52742562	52744593	-	2032	0.0350877192982456	0.0963855421686747	0.0303030303030303
Phf6	chrX;chrX	52912213;52912213	52956961;52956961	+;+	44749	0.0571428571428571	0.0579268292682927	0.0355029585798817
Hprt	chrX	52988077	53021660	+	33584	0.0854700854700855	0.0893561103810775	0.051698670605613
C430049B03Rik	chrX;chrX	53053111;53053111	53057190;53057190	-;-	4080	0.02	0.028169014084507	0.0526315789473684
Fam122b	chrX;chrX;chrX	53243414;53243414;53243414	53269805;53269805;53269805	-;-;-	26392	0.0410094637223975	0.0467091295116773	0.0379008746355685
Mospd1	chrX;chrX;chrX	53344593;53344593;53344593	53370559;53370559;53370559	-;-;-	25967	0.0579710144927536	0.0857142857142857	0.043010752688172
Zfp449	chrX	56346399	56365674	+	19276	0.0714285714285714	0.137931034482759	0.0454545454545455
6330419J24Rik	chrX	56374585	56378470	+	3886	0.075	0.0384615384615385	0.131578947368421
Ddx26b	chrX	56454838	56507843	+	53006	0.0909090909090909	0.130681818181818	0.151162790697674
Mmgt1	chrX	56585511	56597919	-	12409	0.285163776493256	0.266479663394109	0.248394004282655
Slc9a6	chrX	56609834	56664230	+	54397	0.133047210300429	0.167857142857143	0.0833333333333333
Fhl1	chrX;chrX;chrX;chrX	56731760;56731956;56779682;56786526	56793346;56793346;56793346;56793346	+;+;+;+	61587	0.0512820512820513	0.0607734806629834	0.0261538461538462
Mtap7d3	chrX	56797952	56822325	-	24374	0.0264550264550265	0.0509803921568627	0.0611111111111111
Htatsf1	chrX;chrX	57053569;57053833	57067182;57067182	+;+	13614	0.178926441351889	0.189633375474083	0.125760649087221
Arhgef6	chrX	57231484	57338729	-	107246	0.0256410256410256	0.0566037735849057	0
Rbmx	chrX;chrX;chrX	57383347;57386029;57386029	57393036;57393036;57393036	-;-;-	9690	0.0507246376811594	0.0750293083235639	0.04
Gm364	chrX	57409148	57488771	+	79624	0.0416666666666667	0.0555555555555556	0.0112359550561798
Zic3	chrX	58030627	58036630	+	6004	0.114754098360656	0.154716981132075	0.0569948186528497
Fgf13	chrX;chrX;chrX	59062145;59062145;59062145	59166088;59585572;59134436	-;-;-	523428	0.0778443113772455	0.0631768953068592	0.087378640776699
Mcf2	chrX;chrX;chrX	60055955;60055955;60055955	60147700;60179089;60147700	-;-;-	123135	0.0927258193445244	0.0997506234413965	0.0987394957983193
Atp11c	chrX;chrX	60223289;60223289	60403981;60403981	-;-	180693	0.149388623072834	0.152535328345802	0.144215530903328
Fmr1	chrX;chrX	68678540;68678540	68717961;68717961	+;+	39422	0.224919093851133	0.217731421121252	0.201010101010101
Fmr1nb	chrX;chrX;chrX	68761838;68761838;68761838	68804560;68804560;68804560	+;+;+	42723	0.0376884422110553	0.020952380952381	0.0125
Aff2	chrX	69360330	69868037	+	507708	0.116666666666667	0.136490250696379	0.120192307692308
Ids	chrX	70343069	70365085	-	22017	0.196506550218341	0.203703703703704	0.212543554006969
1110012L19Rik	chrX	70385912	70389416	+	3505	0.125	0.1	0
BC023829	chrX	70460055	70477043	-	16989	0.0909090909090909	0.0933333333333333	0.0634920634920635
Mamld1	chrX;chrX	71050255;71050255	71154717;71154717	+;+	104463	0.12280701754386	0.0666666666666667	0
Mtm1	chrX;chrX;chrX;chrX;chrX	71210766;71215005;71215005;71215005;71215081	71315295;71315295;71260810;71315295;71315295	+;+;+;+;+	104530	0.101851851851852	0.111788617886179	0.0876826722338205
Mtmr1	chrX	71364759	71419196	+	54438	0.1171875	0.115183246073298	0.117647058823529
Cd99l2	chrX;chrX	71420059;71420059	71492849;71492849	-;-	72791	0.0989010989010989	0.0333333333333333	0.020979020979021
Hmgb3	chrX	71555992	71560654	+	4663	0.184931506849315	0.191964285714286	0.144144144144144
Vma21	chrX;chrX;chrX	71816079;71816757;71816757	71824706;71824706;71824706	+;+;+	8628	0.229591836734694	0.198675496688742	0.19047619047619
Prrg3	chrX	71963020	71972728	+	9709	0	0	0.0833333333333333
Gabre	chrX	72257431	72274721	-	17291	0.024390243902439	0.05	0.027027027027027
Gabra3	chrX	72432675	72656246	-	223572	0.0224719101123595	0.0202020202020202	0.0166666666666667
Nsdhl	chrX	72918520	72958528	+	40009	0.115789473684211	0.106995884773663	0.0829694323144105
Zfp185	chrX;chrX	72987338;72987338	73031543;73031543	+;+	44206	0.0589887640449438	0.0547445255474453	0.0417827298050139
Pnma5	chrX	73033980	73037103	-	3124	0.157142857142857	0.0588235294117647	0.0677966101694915
Zfp275	chrX;chrX	73342619;73342620	73359080;73359079	+;+	16462	0.158273381294964	0.128930817610063	0.0921985815602837
Haus7	chrX;chrX	73437314;73437314	73459029;73459029	-;-	21716	0.285714285714286	0.235955056179775	0.148936170212766
Dusp9	chrX	73639440	73643514	+	4075	0.0961538461538462	0.087378640776699	0.0526315789473684
Slc6a8	chrX;chrX;chrX	73673132;73673132;73673132	73682500;73682500;73682500	+;+;+	9369	0.16	0.15748031496063	0.0790960451977401
Bcap31	chrX	73686182	73716175	-	29994	0.184466019417476	0.153731343283582	0.130890052356021
Abcd1	chrX	73716596	73738287	+	21692	0.136363636363636	0.107142857142857	0.115384615384615
Idh3g	chrX	73778962	73786897	-	7936	0.304276315789474	0.345833333333333	0.303092783505155
Ssr4	chrX;chrX	73787027;73787142	73790828;73790828	+;+	3802	0.372727272727273	0.4	0.346666666666667
Pdzd4	chrX;chrX	73793356;73793356	73824969;73824969	-;-	31614	0.148989898989899	0.125	0.100931677018634
L1cam	chrX	73853779	73880834	-	27056	0.25	0.235294117647059	0.133333333333333
Arhgap4	chrX;chrX;chrX	73894351;73894351;73894351	73911298;73911298;73911298	-;-;-	16948	0.12	0.136363636363636	0.101449275362319
Naa10	chrX;chrX	73916869;73916869	73921944;73921944	-;-	5076	0.197802197802198	0.213414634146341	0.173076923076923
Renbp	chrX;chrX	73922120;73922120	73930850;73930850	-;-	8731	0.2421875	0.223404255319149	0.178899082568807
Hcfc1	chrX	73942791	73966357	-	23567	0.283704572098476	0.27597672485453	0.204399633363886
Irak1	chrX;chrX;chrX;chrX;chrX	74013913;74013913;74013913;74013913;74013917	74023921;74023921;74023918;74023921;74023921	-;-;-;-;-	10009	0.153846153846154	0.142857142857143	0.117370892018779
Mecp2	chrX;chrX	74026823;74026823	74085636;74085593	-;-	58814	0.293793103448276	0.29445727482679	0.240422721268164
Flna	chrX;chrX	74223460;74223460	74246534;74246534	-;-	23075	0.0864815657715066	0.0914724838869608	0.0717964253256589
Emd	chrX	74254686	74257893	+	3208	0.258064516129032	0.214285714285714	0.160714285714286
Rpl10	chrX	74270815	74273135	+	2321	0.159223300970874	0.168037602820212	0.153950953678474
Dnase1l1	chrX;chrX	74273216;74273216	74281736;74282333	-;-	9118	0	0	0.214285714285714
Taz	chrX;chrX;chrX;chrX;chrX	74282717;74282717;74282717;74282717;74282717	74290151;74290151;74290151;74290151;74290151	+;+;+;+;+	7435	0.290322580645161	0.192307692307692	0.229885057471264
Atp6ap1	chrX	74297096	74304721	+	7626	0.789473684210526	0.741071428571429	0.809338521400778
Gdi1	chrX	74305011	74311867	+	6857	0.0961538461538462	0.255102040816327	0.137254901960784
Fam50a	chrX	74313032	74320149	+	7118	0.21875	0.320754716981132	0.162790697674419
Plxna3	chrX	74329065	74344689	+	15625	0.0327868852459016	0.0510204081632653	0.108695652173913
Lage3	chrX	74352161	74353618	-	1458	0.25	0	0
Ubl4	chrX;chrX	74365717;74365717	74368548;74368548	-;-	2832	0.363636363636364	0.111111111111111	0.142857142857143
Fam3a	chrX	74384719	74393139	-	8421	0.142857142857143	0.137931034482759	0.181818181818182
Ikbkg	chrX;chrX;chrX;chrX;chrX;chrX;chrX	74393290;74393290;74424611;74424611;74429314;74429680;74429680	74453778;74453778;74453778;74453778;74453778;74453778;74453778	+;+;+;+;+;+;+	60489	0.174721189591078	0.141210374639769	0.130177514792899
G6pdx	chrX	74409485	74429161	-	19677	0.180327868852459	0.072463768115942	0.114503816793893
Gab3	chrX	74988544	75084905	-	96362	0.0909090909090909	0.0344827586206897	0.114285714285714
Dkc1	chrX	75095853	75109776	+	13924	0.234513274336283	0.25172754195459	0.192389006342495
Mpp1	chrX	75109732	75130949	-	21218	0.0632183908045977	0.0846905537459283	0.0809248554913295
F8	chrX;chrX;chrX	75172714;75172714;75172714	75380041;75380041;75380041	-;-;-	207328	0.0185185185185185	0.0231316725978648	0.0155172413793103
Fundc2	chrX	75382398	75397158	+	14761	0.0614035087719298	0.0573248407643312	0.08125
Mtcp1	chrX;chrX	75404846;75410441	75416543;75416543	-;-	11698	0.211640211640212	0.175097276264591	0.139175257731959
Brcc3	chrX;chrX;chrX	75416627;75416627;75416627	75455701;75454001;75454001	+;+;+	39075	0.238517324738114	0.241032095657646	0.21123417721519
Vbp1	chrX	75514296	75534946	+	20651	0.179153094462541	0.217248908296943	0.178461538461538
4933407K13Rik	chrX	75725457	75764699	-	39243	0.278846153846154	0.209580838323353	0.243589743589744
Pls3	chrX;chrX;chrX	75785653;75785653;75785653	75874574;75843021;75875170	-;-;-	89518	0.0568181818181818	0.0489130434782609	0.0457142857142857
Tbl1x	chrX	77511226	77660265	+	149040	0.0918312867058195	0.0958605664488017	0.0543724512913457
Prkx	chrX	77762029	77795960	-	33932	0.194805194805195	0.17032967032967	0.229813664596273
Prrg1	chrX;chrX;chrX	78449609;78449609;78449609	78583805;78583897;78583897	-;-;-	134289	0.0657142857142857	0.0517647058823529	0.0521172638436482
Gm8787	chrX	79330512	79358068	-	27557	0	0	0.0714285714285714
Gm7173	chrX	79482567	79517285	-	34719	0.0714285714285714	0.0384615384615385	0.142857142857143
Mageb16	chrX;chrX	79623230;79623230	79671435;79635582	-;-	48206	0.0111111111111111	0.0127118644067797	0.0020703933747412
Tmem47	chrX	81070643	81097875	+	27233	0.122552574329224	0.129918800749532	0.112487100103199
Dmd	chrX	82948869	85205050	+	2256182	0.0832614322691976	0.0842631781454406	0.0547619047619048
Tab3	chrX	85574021	85634469	+	60449	0.13697705802969	0.159836065573771	0.118043844856661
Gyk	chrX;chrX	85701936;85701936	85776819;85776819	-;-	74884	0.0740740740740741	0.0709677419354839	0.0525272547076313
Pola1	chrX	93304765	93632155	-	327391	0.126889419252188	0.131380753138075	0.097372929754426
Pcyt1b	chrX;chrX	93654862;93675111	93749948;93749948	+;+	95087	0.0799031476997579	0.0905432595573441	0.0452488687782805
Pdk3	chrX	93764615	93832095	-	67481	0.0642201834862385	0.0697674418604651	0.0841584158415842
Zfx	chrX;chrX	94074630;94074630	94123407;94123407	-;-	48778	0.15951595159516	0.138662316476346	0.109284332688588
Eif2s3x	chrX	94188708	94212651	-	23944	0.48068669527897	0.475609756097561	0.430571761960327
Klhl15	chrX;chrX;chrX;chrX	94234929;94234929;94234929;94234929	94255968;94273515;94255968;94255968	+;+;+;+	38587	0.13302752293578	0.138181818181818	0.125
Apoo	chrX;chrX;chrX;chrX	94367109;94367153;94367153;94367153	94417092;94417092;94417092;94417092	+;+;+;+	49984	0.234782608695652	0.246031746031746	0.26865671641791
Gm14827	chrX	94442731	94447727	+	4997	0.111111111111111	0.2	0.153846153846154
Maged1	chrX	94535473	94542074	-	6602	0.0804597701149425	0.0928571428571429	0.062992125984252
Gspt2	chrX	94636068	94638561	+	2494	0.145161290322581	0.145454545454545	0.105263157894737
Zxdb	chrX	94724568	94730191	+	5624	0	0	0.0555555555555556
Zxda	chrX	94791284	94798289	-	7006	0.08	0.16	0.0476190476190476
Spin4	chrX	95022506	95026682	-	4177	0.0277777777777778	0.0666666666666667	0
Arhgef9	chrX;chrX;chrX	95048934;95048934;95048934	95166539;95166539;95166539	-;-;-	117606	0.029126213592233	0.0285714285714286	0.0283018867924528
Amer1	chrX	95420313	95444840	-	24528	0.0650406504065041	0.0710059171597633	0.0327868852459016
Zc4h2	chrX;chrX;chrX	95639193;95639193;95639193	95658509;95658509;95658509	-;-;-	19317	0.0625	0	0.12
Zc3h12b	chrX	95711677	95927970	+	216294	0.0522088353413655	0.0198675496688742	0.0243055555555556
Las1l	chrX	95935312	95956974	-	21663	0.516528925619835	0.502439024390244	0.436111111111111
Msn	chrX	96096044	96168553	+	72510	0.0101010101010101	0.0205223880597015	0.0246045694200351
Heph	chrX;chrX;chrX;chrX	96455435;96455435;96456345;96456345	96574484;96574484;96574484;96531423	+;+;+;+	119050	0.153846153846154	0.1	0
Eda2r	chrX;chrX;chrX	97333840;97333840;97337774	97377209;97377209;97377209	-;-;-	43370	0.289756446991404	0.300643500643501	0.279544091181764
Ar	chrX	98149749	98317147	+	167399	0.0666666666666667	0.0795454545454545	0.0961538461538462
Ophn1	chrX	98557514	98890985	-	333472	0.0404624277456647	0.0283018867924528	0.0503875968992248
Yipf6	chrX	98937780	98949020	+	11241	0.29618320610687	0.269189189189189	0.213223140495868
Stard8	chrX	99042580	99074728	+	32149	0.027027027027027	0.110294117647059	0.0285714285714286
Pja1	chrX;chrX;chrX;chrX	99465733;99465733;99465733;99465733	99470735;99470735;99470735;99470735	-;-;-;-	5003	0	0.111111111111111	0.125
Eda	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	99975605;99975605;99975605;99975605;99975605;99975605;99975605;99975605;99975605	100400760;100400760;100400760;100400760;100400760;100400760;100400760;100400760;100400760	+;+;+;+;+;+;+;+;+	425156	0.0596026490066225	0.0518918918918919	0.0503802281368821
Awat2	chrX;chrX	100402221;100402221	100412587;100442717	-;-	40497	0.162162162162162	0.307692307692308	0.0833333333333333
Igbp1	chrX	100494290	100516125	+	21836	0.22052067381317	0.233890214797136	0.226818830242511
Pdzd11	chrX	100622905	100625907	-	3003	0.125	0.115942028985507	0.0757575757575758
Kif4	chrX	100626064	100727271	+	101208	0.118126272912424	0.137083993660856	0.10495382031906
Dlg3	chrX;chrX;chrX;chrX;chrX	100767721;100767721;100767721;100774494;100777270	100818410;100818410;100818410;100818410;100818410	+;+;+;+;+	50690	0.0188679245283019	0.0612244897959184	0.0210526315789474
Tex11	chrX;chrX	100838647;100877881	101059639;101059639	-;-	220993	0.0337078651685393	0.00925925925925926	0.00769230769230769
Slc7a3	chrX	101079220	101085352	-	6133	0.162251655629139	0.145557655954631	0.0854700854700855
Snx12	chrX;chrX;chrX	101097785;101211960;101211960	101222563;101222563;101222563	-;-;-	124779	0.131749460043197	0.168896321070234	0.146374829001368
Foxo4	chrX	101254527	101260873	+	6347	0	0.0303030303030303	0.137931034482759
Med12	chrX	101274090	101298934	+	24845	0.138461538461538	0.112359550561798	0.0840336134453782
Zmym3	chrX;chrX;chrX;chrX;chrX	101404383;101404383;101414929;101414929;101414933	101420222;101419914;101419914;101420222;101420685	-;-;-;-;-	16303	0.204545454545455	0.186813186813187	0.158536585365854
Nono	chrX;chrX	101429650;101429650	101448593;101448593	+;+	18944	0.133645955451348	0.155970149253731	0.101063829787234
Itgb1bp2	chrX	101449108	101453541	+	4434	0.244444444444444	0.192592592592593	0.115384615384615
Taf1	chrX;chrX	101532734;101532734	101601789;101601789	+;+	69056	0.558030480656506	0.565943238731219	0.49288256227758
Ogt	chrX;chrX	101640050;101640217	101684351;101684351	+;+	44302	0.324430479183032	0.337171052631579	0.297105129507364
Nhsl2	chrX	101849384	102092055	+	242672	0.132352941176471	0.0263157894736842	0.108108108108108
Pin4	chrX	102119464	102127673	+	8210	0.2	0.297029702970297	0.303370786516854
Ercc6l	chrX	102142819	102157091	-	14273	0.189655172413793	0.176258992805755	0.132352941176471
Rps4x	chrX	102184942	102188371	-	3430	0.195247933884298	0.209221902017291	0.191987513007284
Hdac8	chrX	102284639	102505148	-	220510	0.0932400932400932	0.107287449392713	0.0982905982905983
Phka1	chrX;chrX	102513974;102513974	102644246;102644246	-;-	130273	0.0414507772020725	0.0553359683794466	0.0376712328767123
4930519F16Rik	chrX	103232280	103256606	-	24327	0.346320346320346	0.284090909090909	0.272357723577236
