Geneid	Chr	Start	End	Strand	Length	A11B2_ES_d0r1	A11B2_ES_d0r2	A11B2_ES_d1r1	A11B2_ES_d1r2	A11B2_d2r1	A11B2_d2r2	A11B2_d3r1	A11B2_d3r2	A11B2_d5r1	A11B2_d5r2	A11B2_d7r1	A11B2_d7r2	A11B2_d15	A11B2_d21	A11B2_d35	A11B2_d52
Sgk3	chr1;chr1;chr1	9798129;9798129;9848280	9902568;9902568;9902568	+;+;+	104440	0.635651322233105	0.647058823529412	0.616830065359477	0.635514018691589	0.634588563458856	0.62431941923775	0.669590643274854	0.591317365269461	0.691358024691358	0.598939929328622	0.640449438202247	0.691558441558442	0.442253521126761	0.552238805970149	0.592307692307692	0.456081081081081
Mcmdc2	chr1	9908637	9940954	+	32318	0.210866752910737	0.195121951219512	0.198098256735341	0.180778032036613	0.205714285714286	0.195121951219512	0.222222222222222	0.188976377952756	0.342857142857143	0.221052631578947	0.464285714285714	0.461538461538462	0.230769230769231	0.247422680412371	0.25	0.75
Snhg6	chr1	9942024	9944118	-	2095	0.577801958650707	0.580366774541532	0.587616099071207	0.552287581699346	0.517034068136273	0.512861736334405	0.532163742690059	0.529807692307692	0.52462245567958	0.527173913043478	0.529960053262317	0.511848341232227	0.484560570071259	0.555414012738853	0.494773519163763	0.478181818181818
Tcf24	chr1	9960162	9967485	-	7324	0.780701754385965	0.793103448275862	0.72	0.65	0.884615384615385	0.692307692307692	0.807692307692308	0.91304347826087	0.857142857142857	0.789473684210526	0.933333333333333	0.851851851851852	0.666666666666667	0.8	0.909090909090909	1
Cops5	chr1;chr1;chr1	10024599;10024599;10024599	10038159;10038159;10038159	-;-;-	13561	0.582222222222222	0.554817275747508	0.561576354679803	0.546603475513428	0.5788876276958	0.524517087667162	0.573599240265907	0.545336787564767	0.547972304648862	0.549277266754271	0.55379746835443	0.554744525547445	0.541605839416058	0.537294563843236	0.557106598984772	0.530269058295964
Cspp1	chr1	10038217	10136768	+	98552	0.517697165516229	0.531852335837961	0.508409658617819	0.521129032258065	0.55070306038048	0.534402332361516	0.559116022099448	0.541114664230242	0.54427266338721	0.538096180486839	0.529515729939908	0.529662738724096	0.515514333895447	0.532549279443432	0.502401336395907	0.508348375451264
Arfgef1	chr1	10137506	10232670	-	95165	0.55112324165442	0.580529706513959	0.58278946096205	0.589375448671931	0.575992255566312	0.588904694167852	0.583287820862916	0.571112515802781	0.528825995807128	0.557211538461538	0.530933633295838	0.544976753588033	0.526818992059634	0.529637004135396	0.52694109772423	0.526115457813491
Prex2	chr1;chr1	10993464;11263962	11303682;11303682	+;+	310219	0.88092762063228	0.875602409638554	0.843255586364378	0.863578680203046	0.875388332758026	0.862960760998811	0.819180087847731	0.806064572425829	0.766858552631579	0.688325135904737	0.611888111888112	0.584437086092715	0.545214172395558	0.573728267868641	0.57883730656629	0.578504672897196
A830018L16Rik	chr1;chr1;chr1;chr1	11414104;11414104;11414104;11414104	11975902;11601821;11601821;11975902	+;+;+;+	561799	0.718470020675396	0.739357080799305	0.743466023321271	0.721820501914079	0.709207560256633	0.746313489896232	0.712479740680713	0.721338535414166	0.647170889693275	0.67316131297174	0.56373779637378	0.599754701553557	0.630114566284779	0.597266881028939	0.559587471352177	0.486593406593407
Sulf1	chr1;chr1;chr1	12692429;12692429;12718544	12860372;12860372;12860372	+;+;+	167944	0.511460379829731	0.519634006862371	0.525015967638918	0.511986301369863	0.550583194477505	0.566163410301954	0.550250378479096	0.567506010375807	0.529936207824149	0.508348457350272	0.510363914733247	0.502722183881604	0.539438782632975	0.521883992124792	0.524368815314899	0.45208280092001
Slco5a1	chr1	12866549	12991135	-	124587	0.769394261424017	0.765472312703583	0.766118836915297	0.744268077601411	0.70509977827051	0.72156862745098	0.683823529411765	0.710869565217391	0.630709426627794	0.644110275689223	0.634472511144131	0.70381679389313	0.583180987202925	0.639035418236624	0.621875	0.57566765578635
Prdm14	chr1	13113427	13127163	-	13737	0.156202143950995	0.0925	0.132189707366297	0.0968229954614221	0.268382352941176	0.291666666666667	0.209944751381215	0.233766233766234	0.136	0.128571428571429	0.183333333333333	0.105263157894737	0.142857142857143	0.0930232558139535	0.192307692307692	0.5
Ncoa2	chr1;chr1	13139158;13139158	13374083;13374083	-;-	234926	0.495064218235856	0.508095605242868	0.494436628724901	0.493464052287582	0.516446048937024	0.523992814985887	0.516751845542305	0.508969965732715	0.505701754385965	0.512366034624897	0.494735456699131	0.496996444771362	0.4997668997669	0.491864650827934	0.499300343467752	0.491952309985097
Tram1	chr1	13564701	13589864	-	25164	0.563088512241055	0.557046979865772	0.52734375	0.572210065645514	0.536791314837153	0.548802946593002	0.543083900226757	0.532625189681335	0.561855670103093	0.565880721220527	0.562277580071174	0.543140028288543	0.570904645476773	0.561743341404358	0.521019108280255	0.557598039215686
Lactb2	chr1	13625899	13660509	-	34611	0.477335951562756	0.478727084053961	0.459459459459459	0.473033151904998	0.436805149210064	0.46694045174538	0.457846153846154	0.448526597780329	0.438543897216274	0.424617926476663	0.450462962962963	0.426297577854671	0.443309499489275	0.464169381107492	0.455703883495146	0.493249324932493
Eya1	chr1;chr1	14168957;14168957	14310199;14310199	-;-	141243	0.415	0.435857805255023	0.395802098950525	0.426104972375691	0.307352941176471	0.307881773399015	0.308555399719495	0.315608919382504	0.344364012409514	0.310252996005326	0.444234404536862	0.342455621301775	0.560100341439621	0.489688459850812	0.565667915106117	0.556155143338954
Trpa1	chr1	14872647	14918862	-	46216	0.565853658536585	0.543478260869565	0.567375886524823	0.553719008264463	0.469135802469136	0.435897435897436	0.383333333333333	0.447916666666667	0.461538461538462	0.444444444444444	0.571428571428571	0.6	0.727272727272727	0.720588235294118	0.722222222222222	1
Kcnb2	chr1	15312451	15714214	+	401764	0.423841059602649	0.381578947368421	0.497354497354497	0.468354430379747	0.523809523809524	0.395348837209302	0.458536585365854	0.312056737588652	0.488888888888889	0.475206611570248	0.329341317365269	0.343065693430657	0.440070653545294	0.42671009771987	0.453790238836968	0.409336941813261
Terf1	chr1;chr1	15805645;15805645	15844052;15844052	+;+	38408	0.522439738979891	0.53459747172322	0.519617540389054	0.541696364932288	0.535910435149979	0.509952229299363	0.532346241457859	0.530034235916589	0.525442725846223	0.516103896103896	0.523032904148784	0.536013884871276	0.500515641113785	0.517661769302907	0.521534563879841	0.503096712720343
4930444P10Rik	chr1	16065978	16093041	-	27064	0.157142857142857	0.6	0.222222222222222	0.3	0.263157894736842	0.454545454545455	0.111111111111111	0.166666666666667	0.285714285714286	0.409090909090909	0.272727272727273	0.290322580645161	0.5	0.3	0.526315789473684	0.272727272727273
Rpl7	chr1	16101295	16104433	-	3139	0.497875627655465	0.639905548996458	0.533333333333333	0.608426270136307	0.564965807469753	0.551296505073281	0.547805171377029	0.544515103338633	0.56288532675709	0.562693498452012	0.581709145427286	0.570684523809524	0.576296296296296	0.54242928452579	0.582236842105263	0.539703903095559
Rdh10	chr1	16105881	16132550	+	26670	0.496551724137931	0.530666666666667	0.491428571428571	0.469503546099291	0.494117647058824	0.525	0.497093023255814	0.556201550387597	0.461322081575246	0.477633477633478	0.512514898688915	0.469907407407407	0.523316062176166	0.511396011396011	0.502369668246445	0.540021344717183
Stau2	chr1;chr1	16228809;16228809	16519302;16519302	-;-	290494	0.553868613138686	0.553191489361702	0.525237746891002	0.585475868290483	0.556437389770723	0.595125253893026	0.600458365164248	0.575240594925634	0.578997765719757	0.562872270019854	0.580911062906725	0.556884703486892	0.576929630260692	0.578263841421736	0.564092356687898	0.590353260869565
Ube2w	chr1;chr1;chr1;chr1	16540787;16568673;16568673;16568673	16619338;16619338;16619338;16619338	-;-;-;-	78552	0.485115766262404	0.517137096774194	0.506561679790026	0.533557046979866	0.559423769507803	0.492886178861789	0.523654159869494	0.508884150675195	0.528301886792453	0.514623522090852	0.525468001741402	0.512674599068805	0.527178257394085	0.489855072463768	0.529834651329978	0.515047291487532
Tceb1	chr1	16642764	16656865	-	14102	0.479298245614035	0.525333333333333	0.501966955153422	0.530523255813954	0.543548387096774	0.538461538461538	0.527653213751868	0.558441558441558	0.522427440633245	0.532258064516129	0.541095890410959	0.553017944535073	0.491228070175439	0.570698466780239	0.528716216216216	0.528344671201814
Tmem70	chr1;chr1	16665190;16665190	16678275;16678275	+;+	13086	0.570637119113573	0.635714285714286	0.580736543909348	0.642857142857143	0.597883597883598	0.56875	0.544715447154472	0.595375722543353	0.551724137931034	0.620689655172414	0.538461538461538	0.580769230769231	0.513661202185792	0.52	0.560311284046693	0.573705179282869
Ly96	chr1;chr1	16688455;16688455	16709605;16709605	+;+	21151	0.6375	0.583333333333333	0.622641509433962	0.763157894736842	0.673469387755102	0.62962962962963	0.645833333333333	0.424242424242424	0.451612903225806	0.466666666666667	0.454545454545455	0.560975609756098	0.594827586206897	0.408450704225352	0.515873015873016	0.414814814814815
Jph1	chr1	16994939	17097889	-	102951	0.395726495726496	0.415416098226467	0.415797705943691	0.418820795817601	0.402364066193853	0.417600527356625	0.450226624139668	0.435142223118822	0.515471698113208	0.468048359240069	0.552357723577236	0.536142725315288	0.518966465090709	0.510777269758328	0.538224121557455	0.505469199769718
Crispld1	chr1	17727416	17766207	+	38792	0.568181818181818	0.54320987654321	0.61	0.623376623376623	0.603896103896104	0.58041958041958	0.6	0.564356435643564	0.626760563380282	0.536697247706422	0.666666666666667	0.607692307692308	0.606412382531786	0.611842105263158	0.615384615384615	0.598409542743539
Pkhd1	chr1	20057778	20618057	-	560280	0.889644746787604	0.891752577319588	0.922209026128266	0.90009746588694	0.909194745859509	0.861182519280206	0.914930555555556	0.847578347578348	0.86036036036036	0.765789473684211	0.890909090909091	0.848214285714286	0.808219178082192	0.883720930232558	0.782608695652174	0.681818181818182
Mcm3	chr1	20803013	20820213	-	17201	0.513927227101631	0.556543837357052	0.524868018894137	0.554586563307494	0.526033449037551	0.523756906077348	0.524529569892473	0.510022271714922	0.527659574468085	0.505339598462196	0.480392156862745	0.508188061278394	0.55184960582171	0.528571428571429	0.51530612244898	0.554054054054054
Paqr8	chr1	20890621	20938756	+	48136	0.768	0.810126582278481	0.7109375	0.742857142857143	0.657407407407407	0.708860759493671	0.708333333333333	0.653266331658292	0.597122302158273	0.590604026845638	0.5625	0.622222222222222	0.661157024793388	0.641791044776119	0.655737704918033	0.597014925373134
Efhc1	chr1	20951625	20990841	+	39217	0.774647887323944	0.854166666666667	0.847058823529412	0.859375	0.8	0.689655172413793	0.904761904761905	0.766666666666667	0.76	0.727272727272727	0.782608695652174	0.7625	0.686567164179104	0.805555555555556	0.666666666666667	0.708333333333333
Tram2	chr1	21001396	21079225	-	77830	0.565335753176044	0.550321199143469	0.557409224730128	0.555006180469716	0.549242424242424	0.616740088105727	0.535714285714286	0.568306010928962	0.531645569620253	0.536231884057971	0.504780114722753	0.4375	0.524822695035461	0.543978349120433	0.536802030456853	0.524962178517398
Tmem14a	chr1;chr1	21218574;21218574	21230167;21230167	+;+	11594	0.614285714285714	0.740740740740741	0.609756097560976	0.660377358490566	0.823529411764706	0.4375	0.787878787878788	0.758620689655172	0.733333333333333	0.818181818181818	0.571428571428571	0.9	0.558823529411765	0.333333333333333	0.583333333333333	0.857142857142857
Gsta3	chr1;chr1;chr1	21240584;21240584;21240584	21265575;21265575;21265575	+;+;+	24992	0.741176470588235	0.847619047619048	0.755980861244019	0.823809523809524	0.764705882352941	0.775	0.805555555555556	0.731707317073171	0.767441860465116	0.740740740740741	0.684210526315789	0.6	0.642857142857143	0.787878787878788	0.692307692307692	0.213114754098361
Kcnq5	chr1;chr1	21398402;21398402	21961942;21961942	-;-	563541	0.763321566649857	0.747344110854503	0.776564936511473	0.756683836154035	0.790423089537553	0.723198896932092	0.782648401826484	0.718648271585801	0.728195282501371	0.637627781118461	0.678962536023055	0.633090313941378	0.673112913287586	0.630575117370892	0.695905580649862	0.639335476956056
Rims1	chr1;chr1;chr1;chr1	22288421;22288421;22468190;22468190	22432843;22432843;22805724;22805724	-;-;-;-	481958	0.774220324914028	0.794318181818182	0.772088808337109	0.802662775852635	0.80526638089406	0.775692582663092	0.790026954177898	0.742081447963801	0.776328986960883	0.754685547688463	0.775071633237822	0.746189529489728	0.746788990825688	0.749541844838118	0.771676300578035	0.794117647058823
Ogfrl1	chr1	23366423	23383175	-	16753	0.49185667752443	0.635294117647059	0.563356164383562	0.543589743589744	0.580901856763926	0.5875	0.585253456221198	0.560402684563758	0.562111801242236	0.54863813229572	0.571428571428571	0.535353535353535	0.580152671755725	0.594405594405594	0.540816326530612	0.534090909090909
Smap1	chr1;chr1;chr1	23844824;23845624;23845624	23909736;23909736;23922381	-;-;-	77558	0.542557651991614	0.543147208121827	0.562658548959919	0.570624648283624	0.561258278145695	0.58531746031746	0.595830531271015	0.610328638497653	0.574677320221266	0.557758031442242	0.555705908885882	0.544329896907216	0.546086956521739	0.546491228070175	0.538393645189762	0.531878476679504
1110058L19Rik	chr1	23995938	24005640	-	9703	0.472727272727273	0.379310344827586	0.442477876106195	0.404040404040404	0.5	0.64	0.416666666666667	0.541666666666667	0.393939393939394	0.6	0.597560975609756	0.506024096385542	0.542857142857143	0.58974358974359	0.485294117647059	0.448979591836735
Fam135a	chr1	24010757	24100341	-	89585	0.539505837632365	0.540559440559441	0.530308161192008	0.520031421838178	0.552547039926572	0.531984334203655	0.533157498116051	0.507352941176471	0.570161025303976	0.542883634677793	0.551521921251047	0.557616416732439	0.522254411377403	0.54456906729634	0.552099533437014	0.506121134020619
Lmbrd1	chr1	24678543	24766301	+	87759	0.46133254015467	0.461259956553222	0.473960436011304	0.450214592274678	0.465745856353591	0.474114441416894	0.480228928199792	0.483747609942639	0.509767441860465	0.514269725797426	0.505756929637527	0.497109826589595	0.503103020273066	0.514909478168264	0.533939070016034	0.555917480998914
Bai3	chr1	25067475	25829707	-	762233	0.55098493626883	0.565922920892495	0.55868544600939	0.549959382615759	0.400657894736842	0.428571428571429	0.398661567877629	0.408373369938229	0.463917525773196	0.4234375	0.528005464480874	0.437847866419295	0.485507246376812	0.433962264150943	0.48792270531401	0.533195020746888
Phf3	chr1	30802341	30863256	-	60916	0.552447552447552	0.524390243902439	0.561151079136691	0.50609756097561	0.508196721311475	0.537634408602151	0.526315789473684	0.519230769230769	0.431034482758621	0.433628318584071	0.50381679389313	0.464566929133858	0.418032786885246	0.47244094488189	0.393258426966292	0.516483516483517
Ptp4a1	chr1	30940302	30949755	-	9454	0.663636363636364	0.681818181818182	0.618181818181818	0.660377358490566	0.63265306122449	0.75	0.787878787878788	0.772727272727273	0.55952380952381	0.5	0.508771929824561	0.714285714285714	0.723404255319149	0.586206896551724	0.763157894736842	0.535714285714286
Khdrbs2	chr1	32172805	32657738	+	484934	0.172332942555686	0.179153094462541	0.168241965973535	0.178082191780822	0.100164203612479	0.131964809384164	0.127551020408163	0.134615384615385	0.159663865546218	0.238095238095238	0.366666666666667	0.267857142857143	0.333333333333333	0.264957264957265	0.183673469387755	0.769230769230769
Prim2	chr1	33453807	33669794	-	215988	0.635328638497653	0.656878738444807	0.646661031276416	0.658428475486904	0.683681214421252	0.668024439918534	0.661498708010336	0.633367875647668	0.589558025329542	0.590490415733134	0.60446247464503	0.609120521172638	0.603844454264251	0.603344768439108	0.589611029049729	0.599682707562136
Rab23	chr1;chr1	33719895;33720418	33742564;33742564	+;+	22670	0.464154411764706	0.494565217391304	0.489156626506024	0.472463768115942	0.52262443438914	0.52400548696845	0.515232974910394	0.514806378132118	0.532871972318339	0.501612903225806	0.494714587737844	0.506696428571429	0.525373134328358	0.464912280701754	0.520576131687243	0.511261261261261
Bag2	chr1	33745483	33757750	-	12268	0.593301435406699	0.333333333333333	0.513888888888889	0.520547945205479	0.494736842105263	0.573529411764706	0.52	0.547619047619048	0.595419847328244	0.588652482269504	0.629213483146067	0.568627450980392	0.625	0.593939393939394	0.595628415300546	0.589285714285714
Zfp451	chr1;chr1;chr1	33761540;33761540;33801959	33814595;33814595;33814595	-;-;-	53056	0.487414187643021	0.505747126436782	0.508931965032307	0.52073732718894	0.520567375886525	0.499079189686924	0.491868449584387	0.501915708812261	0.519538188277087	0.502285714285714	0.517130189439742	0.526347305389222	0.513201933804388	0.509194395796848	0.534423407917384	0.531684027777778
Bend6	chr1	33852051	33907621	-	55571	0.349537037037037	0.354430379746835	0.334140435835351	0.332402234636872	0.339285714285714	0.260089686098655	0.312039312039312	0.284153005464481	0.368972746331237	0.27720207253886	0.367112810707457	0.27689594356261	0.404166666666667	0.290123456790123	0.349112426035503	0.387622149837134
Dst	chr1;chr1;chr1;chr1	33908224;34011824;34011824;34160329	34308662;34308662;34308662;34183903	+;+;+;+	400439	0.62966189664121	0.597330244359865	0.610450891296749	0.584545732017499	0.592510478041669	0.56709323583181	0.567160561161107	0.553993710691824	0.592697195884608	0.584242268702682	0.611848670880334	0.625906915296819	0.512303238646644	0.567510938559191	0.575581395348837	0.545968807824478
Ccdc115	chr1	34436669	34439672	-	3004	0.507246376811594	0.466666666666667	0.5	0.488888888888889	0.5	0.555555555555556	0.454545454545455	0.382352941176471	0.526315789473684	0.59375	0.419354838709677	0.617647058823529	0.521739130434783	0.578947368421053	0.5	0.590909090909091
Imp4	chr1	34439828	34445747	+	5920	0.356521739130435	0.418604651162791	0.371104815864023	0.439153439153439	0.407960199004975	0.411255411255411	0.423913043478261	0.407643312101911	0.405405405405405	0.438405797101449	0.425867507886435	0.469026548672566	0.508474576271186	0.423487544483986	0.428571428571429	0.483660130718954
Ptpn18	chr1	34459745	34473779	+	14035	0.259259259259259	0.282608695652174	0.314285714285714	0.269662921348315	0.120689655172414	0.112903225806452	0.272727272727273	0.2	0.191489361702128	0.276923076923077	0.380952380952381	0.298850574712644	0.1	0.486486486486487	0.464285714285714	0.2
Arhgef4	chr1	34801721	34812754	+	11034	0.49800796812749	0.471153846153846	0.489177489177489	0.542553191489362	0.618181818181818	0.558823529411765	0.511494252873563	0.555555555555556	0.559633027522936	0.49438202247191	0.507246376811594	0.5	0.530612244897959	0.594059405940594	0.407407407407407	0.5
Fam168b	chr1;chr1;chr1	34813217;34813217;34813217	34843050;34843050;34843050	-;-;-	29834	0.538060479666319	0.550625711035267	0.578947368421053	0.549672813801309	0.529199277543648	0.533195020746888	0.51311084624553	0.502121640735502	0.521514629948365	0.506105834464043	0.506871035940803	0.502307692307692	0.507101086048454	0.488249118683901	0.541886350322203	0.494454173963806
Plekhb2	chr1;chr1	34849958;34849958	34871557;34879585	+;+	29628	0.656903765690377	0.544827586206897	0.643192488262911	0.576576576576577	0.546666666666667	0.569444444444444	0.458823529411765	0.493333333333333	0.379310344827586	0.443181818181818	0.395348837209302	0.36734693877551	0.306666666666667	0.401785714285714	0.322314049586777	0.361111111111111
Hs6st1	chr1	36068399	36106446	+	38048	0.45272946443947	0.467318059299191	0.454529018260712	0.439705107951553	0.46524064171123	0.410204081632653	0.448927477017365	0.411223551057958	0.437605396290051	0.421182266009852	0.465232974910394	0.495418098510882	0.51038062283737	0.475517890772128	0.459424083769634	0.451945080091533
Uggt1	chr1	36140027	36244302	-	104276	0.53491455509723	0.563965170797053	0.547336213102952	0.570256073539068	0.542818911685995	0.524958123953099	0.539353769676885	0.534437434279706	0.525549247099482	0.517163618140817	0.512016965127238	0.529079616036138	0.513822894168466	0.522434473567303	0.54077965164501	0.545403587443946
Arid5a	chr1;chr1;chr1;chr1;chr1;chr1	36307732;36307732;36307732;36307732;36307732;36307732	36324029;36324029;36324029;36324029;36324029;36324029	+;+;+;+;+;+	16298	0.692982456140351	0.622222222222222	0.591836734693878	0.576271186440678	0.75	0.515151515151515	0.595744680851064	0.742857142857143	0.722222222222222	0.571428571428571	0.789473684210526	0.666666666666667	0.527777777777778	0.461538461538462	0.637931034482759	0.573770491803279
Kansl3	chr1	36335729	36369181	-	33453	0.505632869449967	0.501655629139073	0.539707016191211	0.529953917050691	0.524781341107872	0.511343804537522	0.483372921615202	0.528169014084507	0.464949928469242	0.507575757575758	0.511494252873563	0.532520325203252	0.509510869565217	0.469333333333333	0.497136311569301	0.52752880921895
Lman2l	chr1	36423185	36445239	-	22055	0.556070435588508	0.565022421524664	0.537234042553192	0.535620052770449	0.579175704989154	0.566448801742919	0.568265682656827	0.53515625	0.52027027027027	0.56951871657754	0.62111801242236	0.586901763224181	0.611570247933884	0.557203389830508	0.596529284164859	0.53904282115869
Cnnm4	chr1	36471596	36508776	+	37181	0.469798657718121	0.475409836065574	0.479166666666667	0.41726618705036	0.476923076923077	0.476923076923077	0.55	0.6	0.558823529411765	0.470588235294118	0.493670886075949	0.491228070175439	0.487179487179487	0.42	0.46551724137931	0.466666666666667
Cnnm3	chr1;chr1	36511875;36511875	36528237;36528237	+;+	16363	0.512422360248447	0.429054054054054	0.461389961389961	0.454545454545455	0.47972972972973	0.463687150837989	0.506779661016949	0.503722084367246	0.493796526054591	0.501557632398754	0.496021220159151	0.491071428571429	0.503571428571429	0.488372093023256	0.563318777292576	0.535353535353535
Ankrd23	chr1	36530533	36535729	-	5197	0.44	0.233333333333333	0.470588235294118	0.46031746031746	0.529411764705882	0.444444444444444	0.490909090909091	0.487179487179487	0.477611940298507	0.375	0.313953488372093	0.554054054054054	0.480519480519481	0.490909090909091	0.483516483516484	0.457142857142857
Ankrd39	chr1	36538172	36547201	-	9030	0.52212389380531	0.605263157894737	0.454545454545455	0.48	0.5	0.571428571428571	0.592592592592593	0.606060606060606	0.666666666666667	0.543859649122807	0.611111111111111	0.607594936708861	0.55952380952381	0.555555555555556	0.473684210526316	0.463768115942029
Sema4c	chr1	36548639	36558381	-	9743	0.658536585365854	0.611111111111111	0.56	0.422222222222222	0.5	0.560606060606061	0.43312101910828	0.526315789473684	0.452173913043478	0.5859375	0.520376175548589	0.542857142857143	0.467961165048544	0.568376068376068	0.544692737430168	0.58955223880597
Fam178b	chr1;chr1;chr1	36562695;36562695;36599970	36593332;36683183;36683183	-;-;-	120489	0.686013986013986	0.639281129653402	0.674148606811146	0.650294695481336	0.656512605042017	0.654719235364397	0.674744897959184	0.648128342245989	0.731818181818182	0.740853658536585	0.822222222222222	0.755555555555556	0.777777777777778	0.779816513761468	0.754716981132076	0.571428571428571
Cox5b	chr1	36691486	36693388	+	1903	0.626506024096386	0.704225352112676	0.5875	0.602836879432624	0.560283687943262	0.470588235294118	0.618181818181818	0.574803149606299	0.569230769230769	0.481481481481481	0.45985401459854	0.661654135338346	0.510344827586207	0.617021276595745	0.673076923076923	0.570175438596491
Actr1b	chr1	36699201	36709925	-	10725	0.563888888888889	0.555045871559633	0.506702412868633	0.497584541062802	0.533333333333333	0.435233160621762	0.515527950310559	0.4875	0.498257839721254	0.509433962264151	0.486238532110092	0.52212389380531	0.444444444444444	0.455516014234875	0.436666666666667	0.547038327526132
