Geneid	Chr	Start	End	Strand	Length	A11B2_ES_d10r1	A11B2_ES_d10r2	A11B2_ES_d1r3	A11B2_ES_d1r4
Pqbp1	chrX;chrX;chrX	7894518;7894518;7894518	7899269;7899000;7899000	-;-;-	4752	0.230769230769231	0.266666666666667	0.225	0.224489795918367
Timm17b	chrX	7899397	7907652	+	8256	0.2	0.0833333333333333	0.344827586206897	0.333333333333333
Hdac6	chrX;chrX	7930121;7930121	7947889;7947889	-;-	17769	0.142857142857143	0.160063391442155	0.180354267310789	0.197204968944099
Suv39h1	chrX;chrX	8061170;8061170	8074760;8074313	-;-	13591	0.645454545454546	0.5	0.511111111111111	0.532710280373832
Wdr13	chrX;chrX;chrX;chrX	8123300;8123300;8123300;8123300	8132847;8132858;8132858;8132858	-;-;-;-	9559	0.278481012658228	0.246575342465753	0.336734693877551	0.37962962962963
Rbm3	chrX;chrX;chrX;chrX	8138974;8142355;8142355;8142355	8145802;8145802;8145802;8145802	-;-;-;-	6829	0.2648	0.199643493761141	0.274058577405858	0.306327160493827
Tbc1d25	chrX;chrX	8154471;8154471	8176181;8176181	-;-	21711	0.193181818181818	0.180904522613065	0.217741935483871	0.237623762376238
Ebp	chrX	8185330	8193512	-	8183	0.198198198198198	0.0917431192660551	0.162962962962963	0.171717171717172
Porcn	chrX;chrX;chrX;chrX	8193849;8193849;8193849;8193849	8206525;8206525;8206525;8206525	-;-;-;-	12677	0.231481481481481	0.238709677419355	0.259887005649718	0.269565217391304
Ftsj1	chrX;chrX	8238667;8238667	8252406;8252406	-;-	13740	0.304347826086957	0.252631578947368	0.210526315789474	0.416666666666667
Lancl3	chrX	9199972	9268085	+	68114	0.192307692307692	0.197604790419162	0.231481481481481	0.364406779661017
Xk	chrX	9272783	9313245	+	40463	0.244949494949495	0.209245742092457	0.209876543209877	0.263492063492063
Dynlt3	chrX	9654269	9662983	-	8715	0.794392523364486	0.736263736263736	0.836065573770492	0.846456692913386
Sytl5	chrX;chrX	9885620;9885620	9998864;9998864	+;+	113245	0.02	0.0437956204379562	0.0851063829787234	0.103448275862069
Rpgr	chrX;chrX;chrX;chrX;chrX;chrX	10158215;10158215;10158215;10160608;10180965;10207000	10216453;10216795;10216795;10216795;10216795;10216795	-;-;-;-;-;-	58581	0.117505995203837	0.0990312163616792	0.145518044237485	0.172374429223744
Tspan7	chrX	10485115	10596604	+	111490	0.13671875	0.123052959501558	0.176308539944904	0.205278592375367
Bcor	chrX;chrX;chrX;chrX;chrX	12036737;12036737;12036737;12036737;12036737	12160355;12080553;12080553;12080553;12080553	-;-;-;-;-	123619	0.225053078556263	0.258289703315881	0.235751295336788	0.240157480314961
Atp6ap2	chrX	12587758	12617051	+	29294	0.318098720292505	0.26978417266187	0.295258620689655	0.287784679089027
1810030O07Rik	chrX	12654883	12673546	-	18664	0.30188679245283	0.270788912579957	0.337386018237082	0.311797752808989
Med14	chrX;chrX	12675370;12679743	12761973;12761973	-;-	86604	0.160249150622877	0.138426966292135	0.167008898015058	0.212993971868721
Gm14634	chrX	12762277	12821492	+	59216	0.114285714285714	0.116959064327485	0.141025641025641	0.196261682242991
5730405O15Rik	chrX	13042014	13045295	+	3282	0.136363636363636	0.111111111111111	0.0819672131147541	0.13953488372093
Usp9x	chrX	13071497	13173327	+	101831	0.188377589322953	0.178053053053053	0.179186228482003	0.198631093728174
Ddx3x	chrX	13281021	13293983	+	12963	0.311905667554203	0.293779216109313	0.319018404907975	0.302414928649835
Cask	chrX;chrX;chrX;chrX	13517080;13517080;13517080;13517080	13846556;13846556;13846556;13846556	-;-;-;-	329477	0.09816474605207	0.0981060606060606	0.139144558743909	0.145974025974026
Maoa	chrX	16619697	16687812	+	68116	0.106331168831169	0.0976138828633406	0.106786427145709	0.141806722689076
Efhc2	chrX	17132048	17319368	-	187321	0.333333333333333	0.195121951219512	0.5	0.441860465116279
Fundc1	chrX	17556568	17572297	-	15730	0.529175050301811	0.387951807228916	0.538666666666667	0.532085561497326
Kdm6a	chrX	18162666	18279358	+	116693	0.441444372153546	0.436848309003536	0.440260586319218	0.43031686358754
Chst7	chrX	20059569	20097520	+	37952	0.220588235294118	0.0919540229885057	0.24390243902439	0.256410256410256
Slc9a7	chrX	20105754	20291764	-	186011	0.0495867768595041	0.0502958579881657	0.0836501901140684	0.0671378091872792
Rp2h	chrX;chrX;chrX;chrX;chrX	20364480;20364480;20364480;20364480;20364480	20400858;20405653;20405653;20400858;20400858	+;+;+;+;+	41174	0.1484375	0.132768361581921	0.148854961832061	0.165467625899281
Jade3	chrX;chrX	20425687;20425687	20519939;20519939	+;+	94253	0.102342786683107	0.077720207253886	0.101295641931684	0.122765196662694
Ndufb11	chrX	20615325	20617564	-	2240	0.25	0.108695652173913	0.235294117647059	0.210526315789474
Rbm10	chrX;chrX;chrX	20617502;20617758;20617758	20650905;20650905;20650905	+;+;+	33404	0.205882352941176	0.153846153846154	0.204347826086957	0.179039301310044
Uba1	chrX;chrX;chrX;chrX	20658301;20658301;20658503;20662895	20683179;20683179;20683179;20683179	+;+;+;+	24879	0.243983402489627	0.259259259259259	0.282937365010799	0.283243243243243
Cdk16	chrX	20688492	20699877	+	11386	0.217391304347826	0.216216216216216	0.183574879227053	0.203619909502262
Usp11	chrX	20703908	20720539	+	16632	0.0760233918128655	0.057660626029654	0.0748663101604278	0.0886699507389163
Araf	chrX;chrX	20848542;20848542	20852905;20860521	+;+	11980	0.140529531568228	0.145708582834331	0.205128205128205	0.217303822937626
Syn1	chrX;chrX	20860510;20860510	20920918;20920918	-;-	60409	0.225806451612903	0.160493827160494	0.151515151515152	0.133333333333333
Timp1	chrX;chrX	20870165;20870165	20874737;20874737	+;+	4573	0.413793103448276	0.5	0.393939393939394	0.457142857142857
Cfp	chrX	20925534	20931524	-	5991	0.0769230769230769	0.0579710144927536	0.0875	0.134328358208955
Elk1	chrX	20933394	20950608	-	17215	0.146551724137931	0.127853881278539	0.142857142857143	0.147959183673469
Uxt	chrX	20951664	20961978	-	10315	0.18413597733711	0.151975683890578	0.166666666666667	0.183406113537118
A230072C01Rik	chrX;chrX	20961675;20962113	20987349;20987349	+;+	25675	0.120418848167539	0.111111111111111	0.142857142857143	0.119402985074627
Zfp182	chrX;chrX	21026183;21026183	21062038;21062038	-;-	35856	0.171511627906977	0.1625	0.213414634146341	0.256676557863501
Zfp300	chrX	21079149	21089229	-	10081	0.0810810810810811	0.125	0	0.153846153846154
Gm6938	chrX	21312209	21334727	-	22519	0.0789473684210526	0.142857142857143	0.266666666666667	0.03125
Klhl13	chrX;chrX	23219270;23219270	23285428;23365082	-;-	145813	0.034577752446091	0.0262597586941093	0.0381705639614856	0.039908000248648
Wdr44	chrX	23693116	23806001	+	112886	0.326530612244898	0.269230769230769	0.448275862068966	0.317073170731707
Dock11	chrX	35888831	36076562	+	187732	0.0533333333333333	0.147368421052632	0.046875	0.211267605633803
Il13ra1	chrX	36112138	36171261	+	59124	0.28	0.225806451612903	0.428571428571429	0.25
Pgrmc1	chrX	36598224	36606079	+	7856	0.2	0.109090909090909	0.111111111111111	0.166666666666667
Akap17b	chrX	36608182	36645414	-	37233	0.106796116504854	0.078740157480315	0.0843373493975904	0.0348837209302326
Slc25a5	chrX	36795651	36798806	+	3156	0.395225464190981	0.445134575569358	0.29973474801061	0.325333333333333
Upf3b	chrX	37091833	37110322	-	18490	0.104651162790698	0.148936170212766	0.228070175438596	0.1875
Nkap	chrX	37126762	37150746	+	23985	0.264444444444444	0.276824034334764	0.328571428571429	0.321428571428571
Zbtb33	chrX;chrX	38189792;38189792	38197046;38197046	+;+	7255	0.166666666666667	0.12	0.230769230769231	0.333333333333333
Lamp2	chrX;chrX;chrX	38401356;38405048;38419502	38456460;38456460;38456460	-;-;-	55105	0.162612035851472	0.154963680387409	0.161339421613394	0.14497528830313
Cul4b	chrX;chrX	38531620;38531620	38576196;38576196	-;-	44577	0.0833333333333333	0.0526315789473684	0.0277777777777778	0.125
Mcts1	chrX	38600657	38613522	+	12866	0.157894736842105	0	0	0
Gria3	chrX;chrX;chrX;chrX	41401300;41401300;41401300;41401528	41678601;41678601;41678601;41672466	+;+;+;+	277302	0.104477611940299	0.0674157303370786	0.181818181818182	0.138461538461538
Thoc2	chrX	41794993	41911901	-	116909	0.162162162162162	0.169491525423729	0.247422680412371	0.205128205128205
Xiap	chrX	42067835	42109664	+	41830	0.106813996316759	0.0966666666666667	0.1184	0.119047619047619
Stag2	chrX;chrX;chrX	42149411;42150700;42201854	42277186;42277186;42277186	+;+;+	127776	0.112244897959184	0.125340599455041	0.146017699115044	0.169172932330827
Tenm1	chrX	42532392	43274784	-	742393	0.160377358490566	0.0849056603773585	0.112359550561798	0.117021276595745
Smarca1	chrX;chrX	47809369;47809369	47892552;47892552	-;-	83184	0.0526315789473684	0	0	0
Ocrl	chrX	47912455	47965866	+	53412	0.108411214953271	0.0713178294573643	0.0966542750929368	0.134438305709024
Xpnpep2	chrX;chrX	48108724;48108724	48136981;48136981	+;+	28258	0.24	0.235294117647059	0.444444444444444	0.444444444444444
Zdhhc9	chrX	48171970	48208702	-	36733	0.297872340425532	0.343137254901961	0.418604651162791	0.313609467455621
Utp14a	chrX	48256933	48282449	+	25517	0.467509025270758	0.464699074074074	0.435667265110712	0.421052631578947
Bcorl1	chrX	48341357	48406728	+	65372	0.414634146341463	0.244897959183673	0.51063829787234	0.278688524590164
Elf4	chrX	48411048	48463132	-	52085	0.383561643835616	0.207792207792208	0.224137931034483	0.311827956989247
Aifm1	chrX;chrX	48474943;48474943	48513563;48513563	-;-	38621	0.109467455621302	0.140394088669951	0.116766467065868	0.177464788732394
Zfp280c	chrX;chrX;chrX;chrX	48541625;48541625;48541625;48541625	48594452;48594373;48592133;48591761	-;-;-;-	52828	0.120092378752887	0.0986394557823129	0.18716577540107	0.198044009779951
Slc25a14	chrX;chrX;chrX;chrX;chrX	48623577;48623577;48623577;48623673;48623673	48662298;48662298;48662298;48662298;48662298	+;+;+;+;+	38722	0.223076923076923	0.126666666666667	0.224489795918367	0.25
Rbmx2	chrX	48695003	48710719	+	15717	0.340740740740741	0.296	0.391891891891892	0.365591397849462
Enox2	chrX;chrX;chrX;chrX;chrX;chrX	49009706;49009706;49009706;49009706;49009706;49009706	49288242;49288242;49288242;49288242;49288242;49288242	-;-;-;-;-;-	278537	0.103507763082231	0.0907504363001745	0.105263157894737	0.0913487372380441
Igsf1	chrX;chrX;chrX;chrX	49782536;49782536;49786348;49792966	49788243;49797745;49795364;49797745	-;-;-;-	15210	0.0434782608695652	0	0	0
Firre	chrX;chrX	50555743;50563119	50635258;50635258	-;-	79516	0.111188084516799	0.108363858363858	0.139969488939741	0.142365887207703
2610018G03Rik	chrX	50841435	50891850	+	50416	0.0324675324675325	0.0428571428571429	0.0153846153846154	0.0869565217391304
Mbnl3	chrX	51113493	51205832	-	92340	0.151515151515152	0.169230769230769	0.1	0.117647058823529
Hs6st2	chrX;chrX;chrX;chrX	51386636;51386636;51386636;51386636	51681602;51680477;51681602;51680477	-;-;-;-	294967	0.15668202764977	0.160919540229885	0.176056338028169	0.32967032967033
Gpc4	chrX	52053017	52164923	-	111907	0.0814624759461193	0.0612369871402327	0.0900423728813559	0.100810081008101
Gpc3	chrX	52272426	52613974	-	341549	0.0365073391042529	0.0259601706970128	0.0423127463863338	0.0383504071447334
Kis2	chrX	52742562	52744593	-	2032	0.0434782608695652	0.0140845070422535	0.0235294117647059	0.0434782608695652
Phf6	chrX;chrX	52912213;52912213	52956961;52956961	+;+	44749	0.0663058186738836	0.0641169853768279	0.0652557319223986	0.0922787193973635
Hprt	chrX	52988077	53021660	+	33584	0.152605459057072	0.153846153846154	0.169628432956381	0.190839694656489
C430049B03Rik	chrX;chrX	53053111;53053111	53057190;53057190	-;-	4080	0.151515151515152	0.325	0.241379310344828	0.32258064516129
Fam122b	chrX;chrX;chrX	53243414;53243414;53243414	53269805;53269805;53269805	-;-;-	26392	0.0243243243243243	0.0387409200968523	0.0413533834586466	0.0539419087136929
Mospd1	chrX;chrX;chrX	53344593;53344593;53344593	53370559;53370559;53370559	-;-;-	25967	0.217821782178218	0.160583941605839	0.20253164556962	0.236842105263158
Zfp449	chrX	56346399	56365674	+	19276	0.123076923076923	0.102040816326531	0.277777777777778	0.270833333333333
6330419J24Rik	chrX	56374585	56378470	+	3886	0.170731707317073	0.139240506329114	0.0882352941176471	0.2
Ddx26b	chrX	56454838	56507843	+	53006	0.106122448979592	0.0805604203152364	0.108196721311475	0.191489361702128
Mmgt1	chrX	56585511	56597919	-	12409	0.242744063324538	0.207021791767554	0.243589743589744	0.299270072992701
Slc9a6	chrX	56609834	56664230	+	54397	0.19140625	0.158783783783784	0.205741626794258	0.214953271028037
Fhl1	chrX;chrX;chrX;chrX	56731760;56731956;56779682;56786526	56793346;56793346;56793346;56793346	+;+;+;+	61587	0.0674002751031637	0.07421875	0.0472279260780287	0.0606741573033708
Mtap7d3	chrX	56797952	56822325	-	24374	0.028328611898017	0.0238611713665944	0.0135593220338983	0.0160771704180064
Htatsf1	chrX;chrX	57053569;57053833	57067182;57067182	+;+	13614	0.202578268876611	0.186900958466454	0.178477690288714	0.252840909090909
Arhgef6	chrX	57231484	57338729	-	107246	0.0465116279069767	0.0266666666666667	0.0294117647058824	0.0357142857142857
Rbmx	chrX;chrX;chrX	57383347;57386029;57386029	57393036;57393036;57393036	-;-;-	9690	0.0495662949194548	0.0482954545454545	0.0660714285714286	0.0841300191204589
Gm364	chrX	57409148	57488771	+	79624	0.036144578313253	0.0689655172413793	0.0517241379310345	0.0169491525423729
Zic3	chrX	58030627	58036630	+	6004	0.106194690265487	0.1	0.094488188976378	0.13013698630137
Fgf13	chrX;chrX;chrX	59062145;59062145;59062145	59166088;59585572;59134436	-;-;-	523428	0.0337078651685393	0.0409181636726547	0.0943396226415094	0.0620689655172414
Mcf2	chrX;chrX;chrX	60055955;60055955;60055955	60147700;60179089;60147700	-;-;-	123135	0.071753986332574	0.059244126659857	0.0820568927789934	0.0867178924259056
Atp11c	chrX;chrX	60223289;60223289	60403981;60403981	-;-	180693	0.109563253012048	0.107344632768362	0.141514101929738	0.143584521384929
Fmr1	chrX;chrX	68678540;68678540	68717961;68717961	+;+	39422	0.162859248341931	0.15311510031679	0.164498141263941	0.204204204204204
Fmr1nb	chrX;chrX;chrX	68761838;68761838;68761838	68804560;68804560;68804560	+;+;+	42723	0.0564663023679417	0.0398773006134969	0.0834752981260647	0.0782442748091603
Aff2	chrX	69360330	69868037	+	507708	0.298795180722892	0.324626865671642	0.58695652173913	0.535947712418301
Ids	chrX	70343069	70365085	-	22017	0.0543071161048689	0.0629370629370629	0.0646067415730337	0.104477611940299
1110012L19Rik	chrX	70385912	70389416	+	3505	0.0645161290322581	0.114285714285714	0.0625	0.142857142857143
BC023829	chrX	70460055	70477043	-	16989	0.0425531914893617	0.0344827586206897	0.03125	0.0714285714285714
Mamld1	chrX;chrX	71050255;71050255	71154717;71154717	+;+	104463	0.272727272727273	0.438202247191011	0.48	0.433734939759036
Mtm1	chrX;chrX;chrX;chrX;chrX	71210766;71215005;71215005;71215005;71215081	71315295;71315295;71260810;71315295;71315295	+;+;+;+;+	104530	0.0544959128065395	0.0672478206724782	0.0814814814814815	0.0855072463768116
Mtmr1	chrX	71364759	71419196	+	54438	0.092511013215859	0.076530612244898	0.140449438202247	0.153439153439153
Cd99l2	chrX;chrX	71420059;71420059	71492849;71492849	-;-	72791	0.0783132530120482	0.0723684210526316	0.15748031496063	0.1640625
Hmgb3	chrX	71555992	71560654	+	4663	0.115727002967359	0.141791044776119	0.117241379310345	0.121212121212121
Vma21	chrX;chrX;chrX	71816079;71816757;71816757	71824706;71824706;71824706	+;+;+	8628	0.099290780141844	0.106227106227106	0.173913043478261	0.18562874251497
Prrg3	chrX	71963020	71972728	+	9709	0	0.0909090909090909	0.125	0
Gabre	chrX	72257431	72274721	-	17291	0.183333333333333	0.196428571428571	0.387096774193548	0.172413793103448
Gabra3	chrX	72432675	72656246	-	223572	0.0666666666666667	0.036036036036036	0.142857142857143	0.037037037037037
Cetn2	chrX	72913564	72918344	-	4781	0	0.1	0.0625	0.2
Nsdhl	chrX	72918520	72958528	+	40009	0.0565371024734982	0.0583333333333333	0.0818181818181818	0.0731707317073171
Zfp185	chrX;chrX	72987338;72987338	73031543;73031543	+;+	44206	0.0497427101200686	0.0468497576736672	0.0638977635782748	0.0432098765432099
Pnma5	chrX	73033980	73037103	-	3124	0.203947368421053	0.223529411764706	0.118055555555556	0.172932330827068
Zfp275	chrX;chrX	73342619;73342620	73359080;73359079	+;+	16462	0.101063829787234	0.0866510538641686	0.117647058823529	0.186147186147186
Haus7	chrX;chrX	73437314;73437314	73459029;73459029	-;-	21716	0.130769230769231	0.121951219512195	0.20353982300885	0.247524752475248
Dusp9	chrX	73639440	73643514	+	4075	0.0227272727272727	0.025	0.0526315789473684	0.0434782608695652
Slc6a8	chrX;chrX;chrX	73673132;73673132;73673132	73682500;73682500;73682500	+;+;+	9369	0.172043010752688	0.232758620689655	0.297029702970297	0.278350515463918
Bcap31	chrX	73686182	73716175	-	29994	0.171929824561404	0.172413793103448	0.14850136239782	0.186588921282799
Abcd1	chrX	73716596	73738287	+	21692	0.444444444444444	0.166666666666667	0.230769230769231	0.0967741935483871
Idh3g	chrX	73778962	73786897	-	7936	0.337796086508754	0.336075205640423	0.320253164556962	0.341597796143251
Ssr4	chrX;chrX	73787027;73787142	73790828;73790828	+;+	3802	0.34640522875817	0.367647058823529	0.302197802197802	0.393333333333333
Pdzd4	chrX;chrX	73793356;73793356	73824969;73824969	-;-	31614	0.138014527845036	0.0915178571428571	0.119771863117871	0.141065830721003
L1cam	chrX	73853779	73880834	-	27056	0.0625	0.12	0.19047619047619	0.3
Arhgap4	chrX;chrX;chrX	73894351;73894351;73894351	73911298;73911298;73911298	-;-;-	16948	0.106382978723404	0.0588235294117647	0.153846153846154	0.275
Naa10	chrX;chrX	73916869;73916869	73921944;73921944	-;-	5076	0.196261682242991	0.176923076923077	0.198675496688742	0.21301775147929
Renbp	chrX;chrX	73922120;73922120	73930850;73930850	-;-	8731	0.231292517006803	0.187845303867403	0.210843373493976	0.234939759036145
Hcfc1	chrX	73942791	73966357	-	23567	0.187116564417178	0.197512801755669	0.18804920913884	0.235668789808917
Irak1	chrX;chrX;chrX;chrX;chrX	74013913;74013913;74013913;74013913;74013917	74023921;74023921;74023918;74023921;74023921	-;-;-;-;-	10009	0.142857142857143	0.129251700680272	0.116564417177914	0.170212765957447
Mecp2	chrX;chrX	74026823;74026823	74085636;74085593	-;-	58814	0.20362473347548	0.187372708757637	0.19766081871345	0.208381839348079
Flna	chrX;chrX	74223460;74223460	74246534;74246534	-;-	23075	0.0983835005574136	0.104178757980267	0.126428571428571	0.183093104791585
Emd	chrX	74254686	74257893	+	3208	0.0333333333333333	0.129032258064516	0.236842105263158	0.19047619047619
Rpl10	chrX	74270815	74273135	+	2321	0.258175559380379	0.27094668117519	0.243150684931507	0.318181818181818
Dnase1l1	chrX;chrX	74273216;74273216	74281736;74282333	-;-	9118	0.7	0.3	0.2	0.333333333333333
Taz	chrX;chrX;chrX;chrX;chrX	74282717;74282717;74282717;74282717;74282717	74290151;74290151;74290151;74290151;74290151	+;+;+;+;+	7435	0.102564102564103	0.282051282051282	0.25	0.25
Atp6ap1	chrX	74297096	74304721	+	7626	0.0515463917525773	0.0245398773006135	0.0414746543778802	0.0364583333333333
Gdi1	chrX	74305011	74311867	+	6857	0.135416666666667	0.0595238095238095	0.145631067961165	0.087378640776699
Fam50a	chrX	74313032	74320149	+	7118	0.0434782608695652	0.03125	0.0508474576271186	0.125
Plxna3	chrX	74329065	74344689	+	15625	0.119266055045872	0.182926829268293	0.0821917808219178	0.184466019417476
Ubl4	chrX;chrX	74365717;74365717	74368548;74368548	-;-	2832	0	0	0.0909090909090909	0.185185185185185
Fam3a	chrX	74384719	74393139	-	8421	0.114285714285714	0	0	0.075
Ikbkg	chrX;chrX;chrX;chrX;chrX;chrX;chrX	74393290;74393290;74424611;74424611;74429314;74429680;74429680	74453778;74453778;74453778;74453778;74453778;74453778;74453778	+;+;+;+;+;+;+	60489	0.0690423162583519	0.0415841584158416	0.0620347394540943	0.0839328537170264
G6pdx	chrX	74409485	74429161	-	19677	0.0522875816993464	0.0300751879699248	0.0526315789473684	0.0645161290322581
Gab3	chrX	74988544	75084905	-	96362	0.242424242424242	0.282051282051282	0.473684210526316	0.206896551724138
Dkc1	chrX	75095853	75109776	+	13924	0.108870967741935	0.0889540566959922	0.141666666666667	0.151884700665188
Mpp1	chrX	75109732	75130949	-	21218	0.21830985915493	0.207357859531773	0.179775280898876	0.263665594855305
F8	chrX;chrX;chrX	75172714;75172714;75172714	75380041;75380041;75380041	-;-;-	207328	0.119266055045872	0.152694610778443	0.18848167539267	0.210084033613445
Fundc2	chrX	75382398	75397158	+	14761	0.0661764705882353	0.0986842105263158	0.0789473684210526	0.101851851851852
Mtcp1	chrX;chrX	75404846;75410441	75416543;75416543	-;-	11698	0.137440758293839	0.106451612903226	0.118881118881119	0.191489361702128
Brcc3	chrX;chrX;chrX	75416627;75416627;75416627	75455701;75454001;75454001	+;+;+	39075	0.190961171228517	0.174984207201516	0.217354675652906	0.233968804159445
Vbp1	chrX	75514296	75534946	+	20651	0.259863945578231	0.238900634249471	0.256077795786062	0.267942583732057
4933407K13Rik	chrX	75725457	75764699	-	39243	0.223140495867769	0.27027027027027	0.28	0.211981566820276
Pls3	chrX;chrX;chrX	75785653;75785653;75785653	75874574;75843021;75875170	-;-;-	89518	0.099009900990099	0.0792682926829268	0.109803921568627	0.120689655172414
Mir669m-2	chrX	77164402	77475936	-	311535	0.25	0.36	0.555555555555556	0.375
Tbl1x	chrX	77511226	77660265	+	149040	0.123102174805088	0.10949177877429	0.115468409586057	0.138507718696398
Prkx	chrX	77762029	77795960	-	33932	0.122340425531915	0.194736842105263	0.175757575757576	0.147887323943662
Prrg1	chrX;chrX;chrX	78449609;78449609;78449609	78583805;78583897;78583897	-;-;-	134289	0.0962962962962963	0.0674603174603175	0.128712871287129	0.157760814249364
Gm7173	chrX	79482567	79517285	-	34719	0.0344827586206897	0	0	0.0454545454545455
Tmem47	chrX	81070643	81097875	+	27233	0.161111111111111	0.14548802946593	0.148456057007126	0.16540404040404
Dmd	chrX	82948869	85205050	+	2256182	0.0381152460984394	0.0306553911205074	0.0375565610859728	0.0472846441947566
Tab3	chrX	85574021	85634469	+	60449	0.127236580516899	0.104805491990847	0.140939597315436	0.150304671631686
Gyk	chrX;chrX	85701936;85701936	85776819;85776819	-;-	74884	0.0873664362036455	0.0926737633061991	0.0940366972477064	0.114954221770092
Nr0b1	chrX	86191774	86195944	+	4171	0.031496062992126	0.0245700245700246	0.0287539936102236	0.0451388888888889
Pola1	chrX	93304765	93632155	-	327391	0.0585631596867552	0.0539000539000539	0.0752677100494234	0.0886869997836902
Pcyt1b	chrX;chrX	93654862;93675111	93749948;93749948	+;+	95087	0.0494623655913978	0.048582995951417	0.0798226164079823	0.0554455445544554
Pdk3	chrX	93764615	93832095	-	67481	0.0508054522924411	0.0517799352750809	0.0710900473933649	0.0785953177257525
Zfx	chrX;chrX	94074630;94074630	94123407;94123407	-;-	48778	0.449955713020372	0.413539367181751	0.400778210116732	0.40177690029615
Eif2s3x	chrX	94188708	94212651	-	23944	0.262026612077789	0.258920402561757	0.311418685121107	0.329615861214374
Klhl15	chrX;chrX;chrX;chrX	94234929;94234929;94234929;94234929	94255968;94273515;94255968;94255968	+;+;+;+	38587	0.0942760942760943	0.0764525993883792	0.113725490196078	0.104
Apoo	chrX;chrX;chrX;chrX	94367109;94367153;94367153;94367153	94417092;94417092;94417092;94417092	+;+;+;+	49984	0.177777777777778	0.192771084337349	0.151515151515152	0.185185185185185
Gm14827	chrX	94442731	94447727	+	4997	0.5	0.363636363636364	0.357142857142857	0.111111111111111
Maged1	chrX	94535473	94542074	-	6602	0.19047619047619	0.1875	0.139344262295082	0.228260869565217
Gspt2	chrX	94636068	94638561	+	2494	0.0618556701030928	0.0967741935483871	0.101694915254237	0.14
Zxdb	chrX	94724568	94730191	+	5624	0.181818181818182	0.1	0.2	0.1875
Zxda	chrX	94791284	94798289	-	7006	0.142857142857143	0.146341463414634	0	0.4
Spin4	chrX	95022506	95026682	-	4177	0.115384615384615	0.0263157894736842	0.0384615384615385	0.0869565217391304
Arhgef9	chrX;chrX;chrX	95048934;95048934;95048934	95166539;95166539;95166539	-;-;-	117606	0.142857142857143	0.196261682242991	0.126582278481013	0.186666666666667
Amer1	chrX	95420313	95444840	-	24528	0.142857142857143	0.0810810810810811	0.148148148148148	0.163461538461538
Zc4h2	chrX;chrX;chrX	95639193;95639193;95639193	95658509;95658509;95658509	-;-;-	19317	0.125	0.1	0	0.0416666666666667
Zc3h12b	chrX	95711677	95927970	+	216294	0.420664206642066	0.378486055776892	0.497695852534562	0.507575757575758
Las1l	chrX	95935312	95956974	-	21663	0.0852459016393443	0.0598006644518272	0.0647249190938511	0.0578231292517007
