closestGene	Chr	Start	End	per_v_dep	peak_halftime	Peakid	distTSS	CTCFsite	dist_prom	gene_halftime	gene_cat	gene_initialTPM	peak_duplicated
Fmr1	chrX	64978822	64979705	depleted_peak	1.74698746897324	peak_1187	3698835	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	65023886	65024311	depleted_peak	3.06617107338872	peak_1188	3654229	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	65153135	65153974	persistent_peak	NA	peak_1190	3524566	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	65778528	65779399	persistent_peak	NA	peak_1194	2899141	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	66770502	66771004	depleted_peak	4.583710448025	peak_1204	1907536	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	66875982	66876367	persistent_peak	9.723097291668	peak_1205	1802173	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	68491929	68492623	persistent_peak	NA	peak_1216	185917	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	68511675	68512698	depleted_peak	2.58123012080427	peak_1217	165842	nonCTCF	distal	1.82760964879282	slowsilencing	707.963348266926	FALSE
Fmr1	chrX	68677795	68679591	persistent_peak	8.64578973831092	peak_1220	0	nonCTCF	prom	1.82760964879282	slowsilencing	707.963348266926	FALSE
Pgrmc1	chrX	36597572	36598773	depleted_peak	3.76137456183809	peak_633	0	nonCTCF	prom	1.844149025316	slowsilencing	637.919030626991	FALSE
Usp9x	chrX	13066441	13067000	persistent_peak	NA	peak_320	4497	nonCTCF	distal	2.13527138007095	slowsilencing	633.961701763815	FALSE
Usp9x	chrX	13070378	13073083	persistent_peak	9.31377316202272	peak_321	0	CTCF	prom	2.13527138007095	slowsilencing	633.961701763815	FALSE
Usp9x	chrX	13078683	13079065	persistent_peak	NA	peak_322	7187	nonCTCF	distal	2.13527138007095	slowsilencing	633.961701763815	FALSE
Usp9x	chrX	13085383	13086098	depleted_peak	3.32643877147756	peak_323	13887	CTCF	distal	2.13527138007095	slowsilencing	633.961701763815	FALSE
Pola1	chrX	90242270	90242708	depleted_peak	0.565085406115076	peak_1633	3389447	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	90358337	90358519	depleted_peak	5.07410989038145	peak_1636	3273636	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	90426047	90426648	persistent_peak	NA	peak_1638	3205507	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	91313277	91315786	persistent_peak	NA	peak_1642	2316369	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	91323705	91325522	persistent_peak	NA	peak_1649	2306633	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	92021610	92023931	persistent_peak	NA	peak_1656	1608224	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	92028452	92029817	persistent_peak	NA	peak_1658	1602338	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	93069902	93070238	persistent_peak	1.91184735165352	peak_1664	561917	CTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	93097637	93097979	persistent_peak	1.30658170860213	peak_1665	534176	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	93281165	93282347	depleted_peak	2.51302221976717	peak_1667	349808	CTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	93285958	93287007	depleted_peak	2.13723034218985	peak_1668	345148	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	93288751	93290487	depleted_peak	3.97641888318672	peak_1669	341668	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	93296856	93297722	depleted_peak	4.16467999358821	peak_1672	334433	nonCTCF	distal	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Pola1	chrX	93631664	93632857	depleted_peak	2.94275757307549	peak_1677	0	nonCTCF	prom	1.29595469804052	mediumsilencing	489.866482627931	FALSE
Atp6ap2	chrX	12531086	12531429	depleted_peak	3.85829684518991	peak_283	56329	nonCTCF	distal	3.49455302767005	slowsilencing	434.392168687738	FALSE
Atp6ap2	chrX	12540970	12541286	persistent_peak	16.8349689977932	peak_284	46472	CTCF	distal	3.49455302767005	slowsilencing	434.392168687738	FALSE
Atp6ap2	chrX	12587301	12588216	persistent_peak	9.51355990321636	peak_285	0	nonCTCF	prom	3.49455302767005	slowsilencing	434.392168687738	FALSE
Atp6ap2	chrX	12610536	12611482	depleted_peak	2.09167133956941	peak_287	22779	nonCTCF	distal	3.49455302767005	slowsilencing	434.392168687738	FALSE
Gpc3	chrX	52603264	52603604	depleted_peak	0.774390708238738	peak_984	10370	CTCF	distal	0.654177593270267	fastsilencing	432.421627124354	FALSE
Gpc3	chrX	52613092	52614419	depleted_peak	2.42679697549567	peak_987	0	nonCTCF	prom	0.654177593270267	fastsilencing	432.421627124354	FALSE
Gpc3	chrX	52644493	52644830	depleted_peak	2.07415388903585	peak_990	30520	nonCTCF	distal	0.654177593270267	fastsilencing	432.421627124354	FALSE
Rpl10	chrX	74269715	74271502	persistent_peak	7.08778686880166	peak_1392	0	nonCTCF	prom	3.51392485458651	slowsilencing	407.521737799714	FALSE
Rpl10	chrX	74272854	74274385	persistent_peak	5.87612928696472	peak_1393	2040	nonCTCF	distal	3.51392485458651	slowsilencing	407.521737799714	FALSE
Eda2r	chrX	97069727	97070285	depleted_peak	1.41946558360528	peak_1780	306924	nonCTCF	distal	1.9388673204116	slowsilencing	384.287829526219	FALSE
Eda2r	chrX	97072458	97072633	depleted_peak	1.69459800845757	peak_1781	304576	nonCTCF	distal	1.9388673204116	slowsilencing	384.287829526219	FALSE
Eda2r	chrX	97234347	97234721	depleted_peak	5.11931412990312	peak_1782	142488	nonCTCF	distal	1.9388673204116	slowsilencing	384.287829526219	FALSE
Eda2r	chrX	97376086	97377592	depleted_peak	4.71357704870899	peak_1784	0	nonCTCF	prom	1.9388673204116	slowsilencing	384.287829526219	FALSE
Eda2r	chrX	97431440	97431755	persistent_peak	NA	peak_1785	54232	CTCF	distal	1.9388673204116	slowsilencing	384.287829526219	FALSE
Ogt	chrX	101622518	101622867	depleted_peak	0.513979184451848	peak_1919	17183	nonCTCF	distal	2.29094274609294	slowsilencing	380.962180889504	FALSE
Ogt	chrX	101636174	101636593	depleted_peak	1.86215876786701	peak_1921	3457	nonCTCF	distal	2.29094274609294	slowsilencing	380.962180889504	FALSE
Ogt	chrX	101636886	101637565	persistent_peak	6.98781265400285	peak_1922	2485	nonCTCF	distal	2.29094274609294	slowsilencing	380.962180889504	FALSE
Ogt	chrX	101639235	101641391	persistent_peak	7.84442587619346	peak_1923	0	nonCTCF	prom	2.29094274609294	slowsilencing	380.962180889504	FALSE
Stag2	chrX	42148658	42151169	persistent_peak	8.85433577915067	peak_776	0	CTCF	prom	1.27541499169501	mediumsilencing	370.059520130579	FALSE
Stag2	chrX	42151860	42152342	depleted_peak	2.77588551139423	peak_777	1161	nonCTCF	distal	1.27541499169501	mediumsilencing	370.059520130579	FALSE
Igbp1	chrX	100493613	100494776	depleted_peak	2.73439197342065	peak_1863	0	nonCTCF	prom	2.34442917482698	slowsilencing	362.026748423767	FALSE
Utp14a	chrX	48234189	48235053	persistent_peak	5.93998029842609	peak_853	21880	nonCTCF	distal	3.53260971519262	slowsilencing	323.135613032808	FALSE
Utp14a	chrX	48255962	48257283	persistent_peak	NA	peak_854	0	nonCTCF	prom	3.53260971519262	slowsilencing	323.135613032808	FALSE
Utp14a	chrX	48278018	48278491	persistent_peak	NA	peak_855	21086	CTCF	distal	3.53260971519262	slowsilencing	323.135613032808	FALSE
Utp14a	chrX	48284405	48286351	persistent_peak	4.63301861826496	peak_856	27473	nonCTCF	distal	3.53260971519262	slowsilencing	323.135613032808	FALSE
Bcap31	chrX	73715418	73717383	persistent_peak	7.88754054023661	peak_1348	0	nonCTCF	prom	1.74580938665093	mediumsilencing	308.676235817985	FALSE
Cetn2	chrX	72824885	72825566	depleted_peak	2.40423283932739	peak_1298	92778	nonCTCF	distal	1.15504198191837	mediumsilencing	301.299409870144	FALSE
Htatsf1	chrX	57052801	57054300	persistent_peak	9.05714141488999	peak_1063	0	nonCTCF	prom	1.75863673833727	mediumsilencing	294.50703413273	FALSE
Dynlt3	chrX	9470818	9471218	depleted_peak	4.4133472349821	peak_189	191765	nonCTCF	distal	NA	NA	292.09787099541	FALSE
Dynlt3	chrX	9475045	9476213	persistent_peak	NA	peak_190	186770	nonCTCF	distal	NA	NA	292.09787099541	FALSE
Dynlt3	chrX	9479322	9479855	persistent_peak	NA	peak_191	183128	nonCTCF	distal	NA	NA	292.09787099541	FALSE
Dynlt3	chrX	9517459	9518642	persistent_peak	NA	peak_193	144341	nonCTCF	distal	NA	NA	292.09787099541	FALSE
Dynlt3	chrX	9519999	9520228	persistent_peak	NA	peak_194	142755	CTCF	distal	NA	NA	292.09787099541	FALSE
Dynlt3	chrX	9613068	9613422	persistent_peak	10.7386865510247	peak_196	49561	nonCTCF	distal	NA	NA	292.09787099541	FALSE
Dynlt3	chrX	9662226	9663300	persistent_peak	5.60828527984984	peak_198	0	nonCTCF	prom	NA	NA	292.09787099541	FALSE
Dynlt3	chrX	9747318	9747893	depleted_peak	1.60597725731558	peak_199	84336	CTCF	distal	NA	NA	292.09787099541	FALSE
Lamp2	chrX	38455885	38456810	persistent_peak	6.16087794259311	peak_710	0	nonCTCF	prom	1.55080684508671	mediumsilencing	260.543499829976	FALSE
Lamp2	chrX	38473221	38474290	persistent_peak	6.41291090753047	peak_711	16762	CTCF	distal	1.55080684508671	mediumsilencing	260.543499829976	FALSE
Pdk3	chrX	93793148	93793684	depleted_peak	3.4452926495962	peak_1687	38411	CTCF	distal	0.681357884541713	fastsilencing	250.112908586942	FALSE
Pdk3	chrX	93796529	93796795	depleted_peak	4.61639186934098	peak_1688	35300	nonCTCF	distal	0.681357884541713	fastsilencing	250.112908586942	FALSE
Pdk3	chrX	93831398	93832769	depleted_peak	2.3714472681919	peak_1689	0	nonCTCF	prom	0.681357884541713	fastsilencing	250.112908586942	FALSE
Pdk3	chrX	93911061	93911707	depleted_peak	0.874287685983844	peak_1692	78967	CTCF	distal	0.681357884541713	fastsilencing	250.112908586942	FALSE
Pdk3	chrX	93922109	93922685	depleted_peak	3.92246108651815	peak_1693	90015	nonCTCF	distal	0.681357884541713	fastsilencing	250.112908586942	FALSE
Fmr1nb	chrX	68739860	68740573	depleted_peak	2.15084530252941	peak_1221	21265	nonCTCF	distal	0.939310978632446	fastsilencing	241.165320638602	FALSE
Fmr1nb	chrX	68761647	68762277	persistent_peak	NA	peak_1222	0	nonCTCF	prom	0.939310978632446	fastsilencing	241.165320638602	FALSE
Fmr1nb	chrX	68893086	68893318	depleted_peak	0.819411122815718	peak_1224	131249	nonCTCF	distal	0.939310978632446	fastsilencing	241.165320638602	FALSE
Aifm1	chrX	48513047	48514006	depleted_peak	2.05294560512721	peak_879	0	nonCTCF	prom	1.15788425124288	mediumsilencing	234.124000408382	FALSE
Aifm1	chrX	48518269	48519924	depleted_peak	4.47512210694383	peak_880	4707	nonCTCF	distal	1.15788425124288	mediumsilencing	234.124000408382	FALSE
Kdm6a	chrX	18048725	18049266	persistent_peak	NA	peak_406	113400	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18161559	18164473	persistent_peak	NA	peak_408	0	nonCTCF	prom	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18180459	18180997	persistent_peak	NA	peak_410	17794	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18258338	18258830	persistent_peak	11.2052044864805	peak_413	95673	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18384249	18384501	persistent_peak	16.9413462595979	peak_418	221584	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18402372	18402678	persistent_peak	NA	peak_419	239707	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18727759	18728920	persistent_peak	6.90678140394557	peak_424	565094	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18775236	18775743	persistent_peak	12.6395909095745	peak_425	612571	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18825018	18825539	persistent_peak	NA	peak_429	662353	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Kdm6a	chrX	18878589	18879039	persistent_peak	7.69859390772507	peak_432	715924	nonCTCF	distal	4.85101852315229	slowsilencing	232.593746458767	FALSE
Tbl1x	chrX	77508811	77512246	depleted_peak	3.30776963851244	peak_1481	0	nonCTCF	prom	0.965987429156292	fastsilencing	230.557068693036	FALSE
Tbl1x	chrX	77525134	77525753	depleted_peak	1.03684019761748	peak_1482	13909	nonCTCF	distal	0.965987429156292	fastsilencing	230.557068693036	FALSE
Tbl1x	chrX	77567568	77568603	depleted_peak	0.651949359066226	peak_1483	56343	nonCTCF	distal	0.965987429156292	fastsilencing	230.557068693036	FALSE
Taf1	chrX	101504585	101504944	depleted_peak	1.22033150228701	peak_1909	27790	CTCF	distal	2.99929363972586	slowsilencing	230.447558920015	FALSE
Taf1	chrX	101518088	101518685	persistent_peak	13.3280552298916	peak_1911	14049	nonCTCF	distal	2.99929363972586	slowsilencing	230.447558920015	FALSE
Taf1	chrX	101521865	101522578	persistent_peak	16.1841810850688	peak_1912	10156	nonCTCF	distal	2.99929363972586	slowsilencing	230.447558920015	FALSE
Taf1	chrX	101523765	101524597	persistent_peak	8.29483842642254	peak_1913	8137	nonCTCF	distal	2.99929363972586	slowsilencing	230.447558920015	FALSE
Taf1	chrX	101526918	101527961	persistent_peak	10.3702965421395	peak_1915	4773	nonCTCF	distal	2.99929363972586	slowsilencing	230.447558920015	FALSE
Taf1	chrX	101530759	101531439	persistent_peak	9.19291883050467	peak_1917	1295	nonCTCF	distal	2.99929363972586	slowsilencing	230.447558920015	FALSE
Taf1	chrX	101532328	101533283	persistent_peak	9.84158501725073	peak_1918	0	nonCTCF	prom	2.99929363972586	slowsilencing	230.447558920015	FALSE
Rp2h	chrX	20355979	20356683	persistent_peak	7.35760173330628	peak_446	7797	nonCTCF	distal	1.74647853430842	mediumsilencing	224.477407580645	FALSE
Rp2h	chrX	20357565	20358124	depleted_peak	3.33493193995587	peak_447	6356	nonCTCF	distal	1.74647853430842	mediumsilencing	224.477407580645	FALSE
Rp2h	chrX	20363981	20365183	persistent_peak	6.03256947526282	peak_448	0	nonCTCF	prom	1.74647853430842	mediumsilencing	224.477407580645	FALSE
Gyk	chrX	85676927	85677279	persistent_peak	10.2659302505323	peak_1587	99540	CTCF	distal	0.9332181817369	fastsilencing	212.406522811524	FALSE
Gyk	chrX	85716641	85717138	depleted_peak	0.991239803446594	peak_1588	59681	nonCTCF	distal	0.9332181817369	fastsilencing	212.406522811524	FALSE
Gyk	chrX	85739471	85740002	depleted_peak	0.781982287634253	peak_1589	36817	nonCTCF	distal	0.9332181817369	fastsilencing	212.406522811524	FALSE
Gyk	chrX	85775897	85777544	depleted_peak	0.869272838032272	peak_1591	0	nonCTCF	prom	0.9332181817369	fastsilencing	212.406522811524	FALSE
Gyk	chrX	85919037	85919367	persistent_peak	NA	peak_1595	142219	CTCF	distal	0.9332181817369	fastsilencing	212.406522811524	FALSE
Zic3	chrX	58013410	58014741	depleted_peak	1.53962597398679	peak_1083	15886	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58015412	58016086	persistent_peak	5.63760653560783	peak_1084	14541	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58018601	58020228	depleted_peak	3.59303987362393	peak_1085	10399	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58029881	58032811	persistent_peak	9.75501341003107	peak_1088	0	nonCTCF	prom	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58037719	58040233	depleted_peak	3.22324916042248	peak_1089	7093	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58041913	58043247	persistent_peak	NA	peak_1090	11287	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58098621	58098810	depleted_peak	1.46677911271511	peak_1093	67995	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58150899	58151615	depleted_peak	1.34680404482536	peak_1095	120273	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Zic3	chrX	58157402	58157872	depleted_peak	0.444820951337584	peak_1097	126776	nonCTCF	distal	0.981785247968008	fastsilencing	211.490563965652	FALSE
Tmem47	chrX	80639273	80640090	persistent_peak	5.40314899368105	peak_1524	430553	nonCTCF	distal	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Tmem47	chrX	80754653	80755414	persistent_peak	13.7172075049617	peak_1525	315229	nonCTCF	distal	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Tmem47	chrX	80876036	80876960	depleted_peak	3.68008388474191	peak_1526	193683	nonCTCF	distal	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Tmem47	chrX	80887902	80888556	depleted_peak	1.05067598862706	peak_1527	182087	nonCTCF	distal	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Tmem47	chrX	81070021	81071476	depleted_peak	5.33737294914432	peak_1530	0	nonCTCF	prom	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Tmem47	chrX	81147936	81148572	persistent_peak	8.19894942603715	peak_1533	77294	nonCTCF	distal	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Tmem47	chrX	81698768	81699283	depleted_peak	1.91806193216275	peak_1537	628126	nonCTCF	distal	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Tmem47	chrX	81802180	81802384	persistent_peak	6.56706118907473	peak_1538	731538	nonCTCF	distal	1.2365303228096	mediumsilencing	207.788370443652	FALSE
Mcf2	chrX	60147293	60147997	persistent_peak	9.00338109969449	peak_1117	0	nonCTCF	prom	1.11925320800226	fastsilencing	206.297348054487	FALSE
Mcf2	chrX	60168609	60169848	depleted_peak	2.67896091028373	peak_1118	9241	nonCTCF	distal	1.11925320800226	fastsilencing	206.297348054487	FALSE
Mcf2	chrX	60177642	60179504	depleted_peak	1.51705827626991	peak_1120	0	nonCTCF	prom	1.11925320800226	fastsilencing	206.297348054487	FALSE
Mcf2	chrX	60182581	60183276	depleted_peak	1.44718163124708	peak_1122	3493	nonCTCF	distal	1.11925320800226	fastsilencing	206.297348054487	FALSE
Mcf2	chrX	60255291	60255671	depleted_peak	1.20462721617656	peak_1126	76203	nonCTCF	distal	1.11925320800226	fastsilencing	206.297348054487	FALSE
Jade3	chrX	20419579	20420488	depleted_peak	5.31102990635675	peak_451	5199	nonCTCF	distal	1.45837669051372	mediumsilencing	190.81331758342	FALSE
Jade3	chrX	20424895	20426510	persistent_peak	8.48982785588603	peak_452	0	nonCTCF	prom	1.45837669051372	mediumsilencing	190.81331758342	FALSE
Brcc3	chrX	75416052	75417124	persistent_peak	7.08968939885245	peak_1434	0	nonCTCF	prom	2.14885987738392	slowsilencing	189.202083576906	FALSE
2610018G03Rik	chrX	50840922	50841994	depleted_peak	0.832818944708567	peak_950	0	nonCTCF	prom	0.66638563125645	fastsilencing	185.439645860404	FALSE
Xiap	chrX	42067655	42069156	persistent_peak	5.68008435544317	peak_774	0	nonCTCF	prom	1.26712124866294	mediumsilencing	185.146532972433	FALSE
Firre	chrX	50456024	50456513	depleted_peak	0.701036065418906	peak_918	178745	nonCTCF	distal	1.03487864070679	fastsilencing	184.211393393246	FALSE
Firre	chrX	50457197	50457429	depleted_peak	0.657998543111468	peak_919	177829	nonCTCF	distal	1.03487864070679	fastsilencing	184.211393393246	FALSE
Firre	chrX	50549662	50550705	persistent_peak	8.69097027120513	peak_922	84553	CTCF	distal	1.03487864070679	fastsilencing	184.211393393246	FALSE
Firre	chrX	50560609	50561642	persistent_peak	NA	peak_923	73616	CTCF	distal	1.03487864070679	fastsilencing	184.211393393246	FALSE
Firre	chrX	50566332	50567194	persistent_peak	NA	peak_924	68064	CTCF	distal	1.03487864070679	fastsilencing	184.211393393246	FALSE
Firre	chrX	50569225	50569586	persistent_peak	NA	peak_925	65672	CTCF	distal	1.03487864070679	fastsilencing	184.211393393246	FALSE
Firre	chrX	50576922	50577667	persistent_peak	NA	peak_927	57591	CTCF	distal	1.03487864070679	fastsilencing	184.211393393246	FALSE
