Peakid	Chr	Start	End	Strand	Length	NPC_0d	NPC_1d	NPC_3d	NPC_6d	NPC_17d
peak_58	chrX	7638206	7638942	+	737	0.567933723196881	0.44947209653092	0.383333333333333	0.257300454250487	0.0416666666666667
peak_61	chrX	7648431	7649828	+	1398	0.540951927027017	0.398812370476646	0.393592472141183	0.298838258515678	0.0768971694202641
peak_64	chrX	7658408	7659138	+	731	0.398470535312641	0.27457264957265	0.224030037546934	0.152505446623094	0.0864381520119225
peak_66	chrX	7670015	7671531	+	1517	0.580999066293184	0.509259259259259	0.399313501144165	0.286971830985915	0.135345997286296
peak_67	chrX	7673556	7675362	+	1807	0.504473331885946	0.477370689655172	0.276091081593928	0.291421362489487	0.053126198695819
peak_68	chrX	7679181	7680408	+	1228	0.512803580600191	0.41371158392435	0.342207792207792	0.249215070643642	0.159962049335863
peak_70	chrX	7696693	7697498	+	806	0.418259803921569	0.459392945036916	0.368960084033613	0.2998445998446	0.146393546346093
peak_71	chrX	7713910	7715116	+	1207	0.597924741924742	0.434325396825397	0.467200833821901	0.328743484997887	0.216922238981063
peak_72	chrX	7721699	7722586	+	888	0.4982232756459	0.428671328671329	0.371017871017871	0.327393162393162	0.168793572019378
peak_73	chrX	7722753	7723320	+	568	0.701490011949706	0.633823529411765	0.498461538461538	0.311355311355311	0.152823920265781
peak_74	chrX	7724241	7725225	+	985	0.44172347568574	0.306174957118353	0.272727272727273	0.179144385026738	0.125789473684211
peak_76	chrX	7727862	7729921	+	2060	0.513883502118796	0.401850731116881	0.329525071059966	0.229889391654098	0.125708961270459
peak_77	chrX	7733088	7734219	+	1132	0.492223825557159	0.488095238095238	0.516666666666667	0.365	0.288327526132404
peak_80	chrX	7740079	7740601	+	523	0.332418885050464	0.340909090909091	0.194078947368421	0.18	0.0409733124018838
peak_82	chrX	7750333	7751297	+	965	0.490303880317906	0.285714285714286	0.413537549407115	0.253571428571429	0.172667757774141
peak_83	chrX	7752087	7752515	+	429	0.648355475941683	0.432894736842105	0.539473684210526	0.323529411764706	0.234615384615385
peak_84	chrX	7753773	7754072	+	300	0.472222222222222	0.545634920634921	0.467171717171717	0.347619047619048	0.206293706293706
peak_86	chrX	7763586	7764403	+	818	0.55255991285403	0.571428571428571	0.319078947368421	0.42	0.337028824833703
peak_87	chrX	7764701	7766706	+	2006	0.539210439126335	0.435991865003023	0.393766578249337	0.347858405657345	0.150916083311728
peak_90	chrX	7775370	7775932	+	563	0.572146807440925	0.472222222222222	0.434014423076923	0.399487179487179	0.152861445783133
peak_91	chrX	7776403	7777181	+	779	0.588327721661055	0.412523452157599	0.337381916329285	0.342857142857143	0.235593220338983
peak_96	chrX	7811231	7811826	+	596	0.394037847697218	0.336538461538462	0.24702380952381	0.266233766233766	0.15018315018315
peak_98	chrX	7821837	7822887	+	1051	0.554751450100287	0.388505747126437	0.184103260869565	0.173529411764706	0.0277777777777778
peak_100	chrX	7840911	7842618	+	1708	0.51219512195122	0.334285714285714	0.433731592108919	0.367760617760618	0.193223443223443
peak_105	chrX	7877609	7878848	+	1240	0.479487179487179	0.453416149068323	0.44047619047619	0.420634920634921	0.0740740740740741
peak_107	chrX	7883645	7884563	+	919	0.509630801445919	0.398620035046729	0.285898565315882	0.314148681055156	0.125971524864158
peak_108	chrX	7898849	7899904	+	1056	0.465393876848985	0.447629499561018	0.418231122236128	0.365050749886381	0.170636849781235
peak_109	chrX	7915813	7916103	+	291	0.631222943722944	0.397222222222222	0.215909090909091	0.330357142857143	0.173809523809524
peak_111	chrX	7922043	7923549	+	1507	0.496732026143791	0.408625730994152	0.399268104776579	0.352478363493312	0.166734693877551
peak_112	chrX	7926230	7928932	+	2703	0.493742313979924	0.469022884673291	0.334877372001432	0.32258808337945	0.179298465393047
peak_113	chrX	7936981	7937653	+	673	0.485156474303761	0.405425963488844	0.551860025220681	0.447901049475262	0.272058823529412
peak_114	chrX	7947338	7948642	+	1305	0.443531593210669	0.496486486486487	0.421022067363531	0.381148921832884	0.177176312505999
peak_118	chrX	7992687	7993531	+	845	0.392794850498339	0.337229437229437	0.21031746031746	0.193438914027149	0.178030303030303
peak_119	chrX	8001816	8003500	+	1685	0.464695316257816	0.355590800951626	0.256587926509186	0.194951808662542	0.129803158887317
peak_120	chrX	8007675	8009614	+	1940	0.55732018985031	0.364835269472481	0.279528865295289	0.313008130081301	0.15794499618029
peak_123	chrX	8015630	8016302	+	673	0.478780864197531	0.356003544528135	0.290051679586563	0.248757763975155	0.201525054466231
peak_124	chrX	8020076	8020701	+	626	0.501430976430976	0.386225402504472	0.388198757763975	0.264245014245014	0.192857142857143
peak_125	chrX	8033156	8033297	+	142	0.620647468473555	0.596296296296296	0.585434173669468	0.442857142857143	0.354166666666667
peak_126	chrX	8048755	8049652	+	898	0.540584077169443	0.555522914218566	0.350396825396825	0.285	0.328125
peak_127	chrX	8050270	8051875	+	1606	0.476635827299544	0.460935406057357	0.366507067943456	0.343223254213966	0.169573545720335
peak_132	chrX	8073680	8075455	+	1776	0.524905414963661	0.424844720496894	0.496584699453552	0.342094017094017	0.272222222222222
peak_133	chrX	8096158	8097410	+	1253	0.511774566285844	0.535289115646258	0.556917211328976	0.448022664199815	0.372339258283959
peak_137	chrX	8131738	8133105	+	1368	0.507013872742773	0.502557544757033	0.375	0.277777777777778	0.184756097560976
peak_139	chrX	8136859	8138190	+	1332	0.541392032500104	0.414857744994731	0.399350649350649	0.373922413793103	0.0798611111111111
peak_141	chrX	8139228	8139958	+	731	0.422355954815181	0.355743879472693	0.319319640564827	0.105311355311355	0.149074074074074
peak_142	chrX	8140276	8141895	+	1620	0.518341076267905	0.436489218328841	0.393099547511312	0.196774193548387	0.0805422647527911
peak_144	chrX	8144956	8146274	+	1319	0.506298401880731	0.464101154480484	0.396322680015402	0.288769092542677	0.0748873873873874
peak_145	chrX	8162124	8162378	+	255	0.516666666666667	0.549603174603175	0.352484472049689	0.13663967611336	0.0588235294117647
peak_146	chrX	8167595	8168280	+	686	0.368668882557771	0.348790322580645	0.208924949290061	0.207377889634601	0.176433121019108
peak_147	chrX	8175241	8176274	+	1034	0.489281045751634	0.426890756302521	0.366783845650752	0.332688444080661	0.181566820276498
peak_150	chrX	8182661	8183882	+	1222	0.437109651877653	0.35855614973262	0.292495954692557	0.246541700080192	0.0976370656370656
peak_151	chrX	8191975	8194002	+	2028	0.479775508140358	0.390804597701149	0.3	0.272670807453416	0.157407407407407
peak_152	chrX	8206076	8207866	+	1791	0.447730248408214	0.417435897435897	0.341073271413829	0.243220015278839	0.118704569055036
peak_156	chrX	8230219	8230728	+	510	0.523383810740133	0.36317254174397	0.324036511156187	0.29093799682035	0.121428571428571
peak_157	chrX	8234910	8235309	+	400	0.427188661308444	0.18609022556391	0.198863636363636	0.21969696969697	0.247474747474747
peak_158	chrX	8238474	8239262	+	789	0.736925647451963	0.71031746031746	0.584797297297297	0.517879948914432	0.272157190635452
peak_159	chrX	8251962	8253126	+	1165	0.484706983629397	0.384615384615385	0.350274725274725	0.317592592592593	0.164166666666667
peak_161	chrX	8314803	8315336	+	534	0.646319898212245	0.590697674418605	0.44719387755102	0.466666666666667	0.269607843137255
peak_164	chrX	8732991	8733192	+	202	0.532262277951933	0.5	0.393939393939394	0.533816425120773	0.185714285714286
peak_165	chrX	8864218	8864604	+	387	0.510416666666667	0.460849056603774	0.365151515151515	0.298076923076923	0.15206508135169
peak_166	chrX	8892213	8893658	+	1446	0.449474438604873	0.52	0.283687943262411	0.293560606060606	0.1875
peak_167	chrX	8948519	8948885	+	367	0.511363636363636	0.280637254901961	0.273913043478261	0.459677419354839	0.221428571428571
peak_173	chrX	9061048	9061233	+	186	0.770089559563244	0.728174603174603	0.654605263157895	0.5	0.238888888888889
peak_174	chrX	9062620	9063375	+	756	0.722222222222222	0.685598377281947	0.649321266968326	0.644736842105263	0.533333333333333
peak_175	chrX	9077762	9077978	+	217	0.391800356506239	0.527536231884058	0.428571428571429	0.532608695652174	0.272727272727273
peak_176	chrX	9095066	9095717	+	652	0.554960031150507	0.426977687626775	0.478908188585608	0.433815350389322	0.301801801801802
peak_178	chrX	9142543	9142955	+	413	0.381951442968392	0.283355795148248	0.218515742128936	0.208164642375169	0.0989583333333333
peak_179	chrX	9158812	9160169	+	1358	0.389232382667125	0.234130434782609	0.156429156429156	0.167182434423814	0.127770935960591
peak_181	chrX	9199561	9200909	+	1349	0.376194955566772	0.389081632653061	0.359262125902993	0.206491885143571	0.0759698275862069
peak_183	chrX	9253767	9254336	+	570	0.380676328502415	0.239625949736996	0.21976483762598	0.183333333333333	0.187948350071736
peak_185	chrX	9272121	9273562	+	1442	0.502706305549288	0.424786324786325	0.37847790507365	0.307054924242424	0.177358113509193
peak_186	chrX	9334839	9335470	+	632	0.64879679144385	0.560709082078679	0.542820512820513	0.571475625823452	0.526373626373626
peak_187	chrX	9375289	9376552	+	1264	0.384067002931899	0.369673967147835	0.352143060904293	0.276785714285714	0.174187586631757
peak_189	chrX	9470818	9471218	+	401	0.366310160427808	0.269886363636364	0.200892857142857	0.191428571428571	0.113839285714286
peak_190	chrX	9475045	9476213	+	1169	0.769940787182166	0.851082251082251	0.912222222222222	0.851190476190476	0.742424242424242
peak_191	chrX	9479322	9479855	+	534	0.381507381507382	0.357894736842105	0.246428571428571	0.238888888888889	0.299632352941176
peak_193	chrX	9517459	9518642	+	1184	0.54963673695017	0.476715250622112	0.337711965607834	0.440976390556223	0.277458859548412
peak_194	chrX	9519999	9520228	+	230	0.440529100529101	0.197222222222222	0.291666666666667	0.261363636363636	0.214080459770115
peak_196	chrX	9613068	9613422	+	355	0.280939833113746	0.339285714285714	0.221428571428571	0.234615384615385	0.06
peak_198	chrX	9662226	9663300	+	1075	0.514657210401891	0.361050760418724	0.34	0.253624668164182	0.151175811870101
peak_199	chrX	9747318	9747893	+	576	0.533333333333333	0.296052631578947	0.191816816816817	0.18	0.0411764705882353
peak_202	chrX	10117097	10117759	+	663	0.464374668786433	0.331428571428571	0.477534562211982	0.296380090497738	0.099025974025974
peak_203	chrX	10216003	10217124	+	1122	0.474129489194052	0.440362782200183	0.423089700996678	0.374660633484163	0.203300561797753
peak_206	chrX	10484770	10486263	+	1494	0.429989944695827	0.457012195121951	0.39719387755102	0.231932773109244	0.0865800865800866
peak_208	chrX	10535592	10536177	+	586	0.442663043478261	0.372549019607843	0.442640692640693	0.213235294117647	0.126315789473684
peak_210	chrX	10714535	10715257	+	723	0.608552631578947	0.418831168831169	0.489583333333333	0.424019607843137	0.211904761904762
peak_216	chrX	11090617	11090812	+	196	0.430735930735931	0.314241486068111	0.495535714285714	0.261363636363636	0.06
peak_221	chrX	11550279	11550690	+	412	0.535714285714286	0.388888888888889	0.240384615384615	0.305555555555556	0.22156862745098
peak_224	chrX	11664339	11665491	+	1153	0.593650793650794	0.375	0.277777777777778	0.251111111111111	0.185365853658537
peak_225	chrX	11734710	11735794	+	1085	0.656898656898657	0.485023041474654	0.413312693498452	0.383603238866397	0.188467492260062
peak_226	chrX	11745987	11746610	+	624	0.589355144618303	0.491452991452991	0.454545454545455	0.319548872180451	0.228758169934641
peak_227	chrX	11802864	11803827	+	964	0.444805781391147	0.297814207650273	0.290869763205829	0.256140350877193	0.244444444444444
peak_228	chrX	11807081	11808206	+	1126	0.426621417797888	0.416666666666667	0.385856079404467	0.440860215053763	0.247727272727273
peak_232	chrX	11956893	11957729	+	837	0.6931531618216	0.541139240506329	0.603053435114504	0.610902255639098	0.435244755244755
peak_233	chrX	11998339	11999551	+	1213	0.518650793650794	0.450602968460111	0.463790233074362	0.380907668231612	0.215260545905707
peak_235	chrX	12004915	12007778	+	2864	0.487164677191631	0.424632352941176	0.372076023391813	0.334017561865663	0.244835007173601
peak_238	chrX	12014633	12015367	+	735	0.441514648977335	0.435314685314685	0.405717255717256	0.336996336996337	0.245952677459527
peak_240	chrX	12031844	12032517	+	674	0.547550505050505	0.464240102171137	0.466350496838302	0.273148148148148	0.32527664531159
peak_243	chrX	12047472	12049149	+	1678	0.556818181818182	0.435483870967742	0.390873015873016	0.447476525821596	0.370837083708371
peak_244	chrX	12066306	12067778	+	1473	0.535145052172916	0.393939393939394	0.422463768115942	0.435897435897436	0.377777777777778
peak_246	chrX	12076698	12078268	+	1571	0.445586297760211	0.564102564102564	0.562655086848635	0.482758620689655	0.45423197492163
peak_247	chrX	12078423	12082000	+	3578	0.540418746925552	0.509447807741699	0.500762776506484	0.467395104895105	0.445034843205575
peak_249	chrX	12086930	12091350	+	4421	0.524897964531619	0.493247154157824	0.522622215996638	0.46844603532799	0.401666666666667
peak_251	chrX	12114043	12114346	+	304	0.399202551834131	0.286363636363636	0.273467432950192	0.26969696969697	0.177272727272727
peak_255	chrX	12133285	12133933	+	649	0.502222222222222	0.501893939393939	0.472222222222222	0.4725	0.36770140428677
peak_256	chrX	12134341	12135361	+	1021	0.503739316239316	0.59375	0.583333333333333	0.410553410553411	0.352040816326531
peak_260	chrX	12139859	12140575	+	717	0.454025246176409	0.349264705882353	0.395302773061686	0.435864978902954	0.296374764595104
peak_261	chrX	12146253	12146547	+	295	0.381716322892793	0.201863354037267	0.24922600619195	0.348484848484849	0.104166666666667
peak_263	chrX	12152579	12154105	+	1527	0.481047720924704	0.493696700037078	0.479032258064516	0.46981981981982	0.279657477025898
peak_264	chrX	12155503	12156288	+	786	0.335714285714286	0.537037037037037	0.318181818181818	0.434792521659827	0.272040744643484
peak_265	chrX	12157418	12159421	+	2004	0.569185168562439	0.460851648351648	0.460066769388803	0.432669082125604	0.211129032258065
peak_266	chrX	12159707	12160663	+	957	0.489015151515152	0.530769230769231	0.387362637362637	0.371710526315789	0.170608108108108
peak_267	chrX	12224932	12225990	+	1059	0.45547385620915	0.402046783625731	0.2375	0.199637023593466	0.120720720720721
peak_269	chrX	12251853	12252994	+	1142	0.441789684709313	0.30487012987013	0.336664762992576	0.230486008836524	0.13494345409239
peak_270	chrX	12284828	12285050	+	223	0.452643369175627	0.339912280701754	0.330882352941176	0.230263157894737	0.125
peak_271	chrX	12285915	12287248	+	1334	0.546963876232169	0.451127819548872	0.361581920903955	0.382539682539683	0.232620320855615
peak_272	chrX	12287523	12288725	+	1203	0.519151138716356	0.392441860465116	0.303571428571429	0.344670846394984	0.203125
peak_275	chrX	12299399	12299686	+	288	0.748230694037146	0.792857142857143	0.823529411764706	0.813492063492063	0.514285714285714
peak_279	chrX	12348215	12348448	+	234	0.502594986290638	0.537625418060201	0.491541353383459	0.380952380952381	0.243194192377495
peak_283	chrX	12531086	12531429	+	344	0.533349925335988	0.318764568764569	0.361818181818182	0.165775401069519	0.101851851851852
peak_284	chrX	12540970	12541286	+	317	0.501628001628002	0.329365079365079	0.394444444444444	0.423157894736842	0.212530712530713
peak_285	chrX	12587301	12588216	+	916	0.544116762866763	0.454912321449309	0.383333333333333	0.357447428359553	0.186445578231293
peak_287	chrX	12610536	12611482	+	947	0.37730685740721	0.29735609103079	0.113571428571429	0.137483130904184	0.0837173579109063
peak_288	chrX	12651745	12652785	+	1041	0.587604708924501	0.379550970873786	0.295428072218987	0.242690656307504	0.125217391304348
peak_289	chrX	12672923	12674102	+	1180	0.484072564039206	0.475390070921986	0.403535353535354	0.448037323037323	0.222451182415857
peak_291	chrX	12759033	12759277	+	245	0.401571268237935	0.233333333333333	0.296791443850267	0.336363636363636	0.3
peak_292	chrX	12761329	12762745	+	1417	0.547790404040404	0.423913043478261	0.437878787878788	0.340579710144927	0.158823529411765
peak_293	chrX	12766880	12767408	+	529	0.357769916142558	0.327639751552795	0.260504201680672	0.373401534526854	0.0949098621420997
peak_295	chrX	12822526	12823240	+	715	0.59888506382195	0.547916666666667	0.426971326164875	0.394285714285714	0.075
peak_296	chrX	12834745	12835167	+	423	0.599296128707893	0.436868686868687	0.313888888888889	0.271875	0.192708333333333
peak_297	chrX	12839705	12841089	+	1385	0.40855927698033	0.417311411992263	0.431818181818182	0.281860311155247	0.145454545454545
peak_298	chrX	12857959	12858926	+	968	0.53447827218319	0.351590636254502	0.256595321055251	0.345714285714286	0.155014124293785
peak_299	chrX	12860088	12860623	+	536	0.444824828027516	0.348484848484849	0.253601047577477	0.274617996604414	0.0909278350515464
peak_300	chrX	12873346	12874078	+	733	0.441876153089671	0.518518518518518	0.377543604651163	0.263888888888889	0.0634782608695652
peak_303	chrX	12916601	12917587	+	987	0.406356837606838	0.301470588235294	0.188636363636364	0.246153846153846	0.164705882352941
peak_304	chrX	12919750	12919972	+	223	0.426807760141093	0.344444444444444	0.39975845410628	0.481424148606811	0.195238095238095
peak_305	chrX	12924798	12925260	+	463	0.441230275101243	0.27487684729064	0.210591133004926	0.251428571428571	0.0684523809523809
peak_306	chrX	12926871	12927522	+	652	0.492877492877493	0.301411290322581	0.215686274509804	0.255	0.0845238095238095
peak_307	chrX	12927901	12928769	+	869	0.522685185185185	0.538461538461538	0.394202898550725	0.264822134387352	0.126923076923077
peak_308	chrX	12936314	12937318	+	1005	0.442219440967876	0.385	0.265395894428152	0.294615384615385	0.39405684754522
peak_309	chrX	12942394	12942799	+	406	0.310185185185185	0.219551282051282	0.198387096774194	0.148395721925134	0.125322997416021
peak_315	chrX	13013876	13014726	+	851	0.460027100271003	0.359748427672956	0.329530638852673	0.324058919803601	0.221774193548387
peak_319	chrX	13046568	13048529	+	1962	0.346020789000609	0.29546218487395	0.211572205650114	0.241661643560378	0.152936048321813
peak_320	chrX	13066441	13067000	+	560	0.619950202303143	0.461818181818182	0.383512544802867	0.423913043478261	0.607142857142857
peak_321	chrX	13070378	13073083	+	2706	0.411170645446507	0.392505254860746	0.304157957599283	0.266461808604039	0.142296918767507
peak_322	chrX	13078683	13079065	+	383	0.527777777777778	0.485294117647059	0.258169934640523	0.28125	0.333333333333333
peak_323	chrX	13085383	13086098	+	716	0.58710291318987	0.445054945054945	0.420512820512821	0.0839160839160839	0.09375
peak_326	chrX	13199621	13199936	+	316	0.390374331550802	0.224310776942356	0.0662878787878788	0.15	0.0588235294117647
peak_328	chrX	13206267	13208605	+	2339	0.527799997273681	0.445289064630488	0.349362445178407	0.294088575272508	0.198770604774243
peak_330	chrX	13214232	13214536	+	305	0.334728931830381	0.285714285714286	0.267942583732057	0.470238095238095	0.267942583732057
peak_331	chrX	13225024	13225350	+	327	0.565582863969961	0.300806451612903	0.394444444444444	0.311141304347826	0.311363636363636
peak_332	chrX	13230055	13231664	+	1610	0.514431139577338	0.438204237044252	0.378409090909091	0.281511436876027	0.118411097099622
peak_334	chrX	13240712	13242091	+	1380	0.4777321656632	0.307729468599034	0.365151515151515	0.26993620414673	0.078525641025641
peak_335	chrX	13242343	13243771	+	1429	0.421551362683438	0.329127613554434	0.261592741935484	0.181390977443609	0.132276194299478
peak_337	chrX	13280008	13282414	+	2407	0.455364857130862	0.465811965811966	0.401216416986505	0.414882943143813	0.396919773731368
peak_341	chrX	13293742	13298087	+	4346	0.540188824511953	0.433208955223881	0.449606986899563	0.383254716981132	0.202989017820141
peak_342	chrX	13344542	13345382	+	841	0.382375478927203	0.390804597701149	0.24695652173913	0.257575757575758	0.103174603174603
peak_343	chrX	13345626	13348025	+	2400	0.511018946904604	0.376878422331096	0.307360704926127	0.243333333333333	0.155454545454545
peak_344	chrX	13386326	13386897	+	572	0.501452432824982	0.31043956043956	0.121527777777778	0.272321428571429	0.205357142857143
peak_345	chrX	13416093	13417055	+	963	0.522220614726469	0.473585572842999	0.430872913992298	0.355510752688172	0.225563909774436
peak_347	chrX	13461172	13462364	+	1193	0.447888589398023	0.324808184143223	0.266666666666667	0.295955882352941	0.116286149162861
peak_349	chrX	13757456	13757871	+	416	0.506471306471306	0.355882352941176	0.238095238095238	0.133333333333333	0.0625
peak_351	chrX	13845481	13847424	+	1944	0.541606541606542	0.462606837606838	0.279176201372998	0.278015820698748	0.127642276422764
peak_352	chrX	13858735	13859466	+	732	0.492772069150801	0.372641509433962	0.244678609062171	0.191176470588235	0.0361344537815126
peak_359	chrX	14585091	14585893	+	803	0.384729649435532	0.447916666666667	0.238721804511278	0.276098901098901	0.0344827586206897
peak_360	chrX	14632334	14632944	+	611	0.612380309748731	0.346875	0.266666666666667	0.206395348837209	0.115454545454545
peak_365	chrX	15322357	15322807	+	451	0.486025862463966	0.407595693779904	0.330516431924883	0.215715715715716	0.0784193284193284
peak_370	chrX	15631767	15632215	+	449	0.46968814699793	0.314814814814815	0.338060224089636	0.268465909090909	0.0685714285714286
peak_372	chrX	15846317	15846976	+	660	0.532428355957768	0.35632183908046	0.41304347826087	0.3075	0.191337719298246
peak_380	chrX	16617974	16620294	+	2321	0.439286821705426	0.360492288518461	0.345918340062568	0.262739235406041	0.0566579726490907
peak_381	chrX	16894485	16894749	+	265	0.513997744960537	0.41256157635468	0.399209486166008	0.215384615384615	0.0603070175438596
peak_385	chrX	17319153	17319698	+	546	0.556435394670689	0.409210526315789	0.264166666666667	0.117224880382775	0.0825
peak_388	chrX	17473088	17473705	+	618	0.571548821548821	0.469400244798042	0.4125	0.201298701298701	0.236596736596737
peak_389	chrX	17521064	17521712	+	649	0.424119496855346	0.382868089764641	0.382763975155279	0.221665111940299	0.128125
peak_392	chrX	17571361	17572654	+	1294	0.490155523488857	0.417948717948718	0.490622655663916	0.363888888888889	0.149610678531702
peak_393	chrX	17721754	17722552	+	799	0.416704153546259	0.40054347826087	0.454545454545455	0.390940766550523	0.221264367816092
peak_394	chrX	17725284	17725781	+	498	0.607984607984608	0.548245614035088	0.513133208255159	0.434285714285714	0.457589285714286
peak_395	chrX	17746514	17746757	+	244	0.598787878787879	0.558080808080808	0.601086956521739	0.266666666666667	0.401960784313726
peak_396	chrX	17751110	17752150	+	1041	0.53778533268577	0.459163898117386	0.43361801242236	0.392929292929293	0.376126126126126
peak_402	chrX	17818353	17818704	+	352	0.453171390013495	0.562200956937799	0.387700534759358	0.498987854251012	0.242424242424242
peak_406	chrX	18048725	18049266	+	542	0.75	0.675324675324675	0.785714285714286	0.705741626794258	0.6
peak_408	chrX	18161559	18164473	+	2915	0.488556459566075	0.42478162406988	0.398019235484838	0.400281375008475	0.316767447719829
peak_410	chrX	18180459	18180997	+	539	0.633673903788846	0.475789473684211	0.542155425219941	0.515957446808511	0.293545534924845
peak_413	chrX	18258338	18258830	+	493	0.438308817619162	0.464285714285714	0.36	0.3125	0.16025641025641
peak_418	chrX	18384249	18384501	+	253	0.395951417004049	0.404545454545455	0.475961538461538	0.384453781512605	0.196428571428571
peak_419	chrX	18402372	18402678	+	307	0.63125	0.692941176470588	0.640901771336554	0.541666666666667	0.56631299734748
peak_424	chrX	18727759	18728920	+	1162	0.32380402829452	0.228205128205128	0.179411764705882	0.211364701157888	0.0945410151874916
peak_425	chrX	18775236	18775743	+	508	0.297222222222222	0.294258373205742	0.294736842105263	0.215780296425458	0.101307189542484
peak_429	chrX	18825018	18825539	+	522	0.525925925925926	0.441287878787879	0.3625	0.406818181818182	0.293853073463268
peak_432	chrX	18878589	18879039	+	451	0.428668018931711	0.291666666666667	0.333333333333333	0.213235294117647	0.161616161616162
peak_434	chrX	19237038	19238364	+	1327	0.439767490573942	0.350852272727273	0.318307418508805	0.224938118811881	0.0811011904761905
peak_435	chrX	19341348	19342383	+	1036	0.601584130853497	0.536672325976231	0.496955859969559	0.507550521874306	0.337301587301587
peak_440	chrX	19906465	19907300	+	836	0.549953314659197	0.238140417457305	0.230263157894737	0.270833333333333	0.0462765957446808
peak_441	chrX	19943134	19943887	+	754	0.428405334927832	0.333639705882353	0.195585077831455	0.246428571428571	0.0588744588744589
peak_442	chrX	20059124	20061243	+	2120	0.555758987567389	0.430562307567655	0.362666666666667	0.28561736770692	0.159818672839506
peak_444	chrX	20291234	20292236	+	1003	0.462910353535353	0.403125	0.285714285714286	0.261356262167424	0.0752688172043011
peak_446	chrX	20355979	20356683	+	705	0.615767279147561	0.57952657807309	0.481060606060606	0.346031746031746	0.108325219084713
peak_447	chrX	20357565	20358124	+	560	0.563808087337499	0.339670014347202	0.296783625730994	0.209429824561404	0.06
peak_448	chrX	20363981	20365183	+	1203	0.474261849261849	0.416758228634214	0.294160974956475	0.263157894736842	0.083015993907083
peak_451	chrX	20419579	20420488	+	910	0.530637754408848	0.330128205128205	0.363636363636364	0.23735119047619	0.0826923076923077
peak_452	chrX	20424895	20426510	+	1616	0.389176245210728	0.427536231884058	0.412960306073649	0.190434782608696	0.112631578947368
peak_455	chrX	20547982	20548571	+	590	0.313888888888889	0.209615384615385	0.242857142857143	0.0916666666666667	0.0625
peak_456	chrX	20587905	20588235	+	331	0.534210526315789	0.35625	0.312629399585921	0.252777777777778	0.180652680652681
peak_457	chrX	20616823	20618296	+	1474	0.451126961100365	0.416666666666667	0.432142857142857	0.335315315315315	0.148277197057685
peak_458	chrX	20657974	20659743	+	1770	0.450523471800068	0.433684210526316	0.504385964912281	0.450793650793651	0.151123595505618
peak_459	chrX	20662245	20663589	+	1345	0.61725040257649	0.399778516057586	0.47972972972973	0.325431034482759	0.240096038415366
peak_460	chrX	20687283	20689303	+	2021	0.47497620795606	0.329282144479782	0.37028341438873	0.365248728094969	0.216046277665996
